Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-7-10-65-18-81-22-30-2-3-2-2-1-1-2-1-81	0.64	0.3	1.32	0.19718	NS
A	HLA-Aw2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-4	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw27-1-7-20-10-32-7-1-1-1-5-1-4-3-5-1-14	1.31	1	1.74	0.044937	*
A	HLA-Aw31-1-1-24-13-38-1-1-1-1-7-1-1-1-6-1-41	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw40-6-5-30-15-46-9-16-1-6-9-2-6-1-9-1-52	1.37	0.6	3.19	0.41572	NS
A	HLA-Aw40-6-5-30-15-48-9-16-1-7-9-2-6-1-9-1-52	1.29	0.92	1.8	0.12723	NS
A	HLA-Aw49-7-10-40-18-56-6-21-2-8-11-2-9-2-4-1-65	1.32	0.71	2.48	0.34383	NS
A	HLA-Aw49-7-10-41-18-56-6-21-2-8-11-2-9-2-4-1-65	0.65	0.35	1.19	0.135	NS
A	HLA-Aw52-8-12-45-19-65-15-10-7-9-12-2-3-2-4-1-71	0.62	0.33	1.14	0.098112	NS
A	HLA-Aw52-8-17-57-9-28-6-10-10-4-12-2-3-2-4-1-71	0.87	0.52	1.47	0.5871	NS
A	HLA-Aw56-1-3-47-20-69-16-1-1-1-14-1-1-1-5-1-14	1.02	0.42	2.5	0.96206	NS
A	HLA-Aw56-1-3-49-21-70-17-1-1-1-15-1-1-1-10-1-14	3.31	1.15	11.59	0.013882	*
A	HLA-Aw58-8-15-52-22-72-18-23-7-9-17-2-10-2-4-1-76	0.71	0.38	1.29	0.2262	NS
A	HLA-Aw58-8-15-59-22-75-18-26-7-9-17-2-10-2-4-1-76	0.28	0.05	1.05	0.034769	*
A	HLA-Aw60-7-10-67-18-82-4-30-2-3-2-2-1-1-2-1-14	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw8-5-4-5-4-9-2-4-2-3-2-2-1-1-2-1-14	0.69	0.54	0.87	0.0013346	*
A	HLA-Aw8-5-4-9-4-10-4-4-2-3-2-2-1-1-2-1-14	0.4	0.09	1.41	0.11543	NS
A	binned	1.63	0.88	3.1	0.09617	NS
C	HLA-Cw0-1-0-79-0-10-0-4-0-3-0-1-0-1-0-1-0	0.89	0.27	2.83	0.8244	NS
C	HLA-Cw0-4-0-207-0-13-0-3-0-2-0-1-0-1-0-1-0	0.8	0.49	1.3	0.33518	NS
C	HLA-Cw396-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-59	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw404-5-4-13-7-27-4-6-4-1-6-1-1-1-5-1-116	0.53	0.34	0.82	0.0024957	*
C	HLA-Cw404-5-4-14-7-27-4-6-4-1-6-1-1-1-5-1-115	0.9	0.57	1.43	0.6467	NS
C	HLA-Cw408-5-5-22-8-50-8-9-1-6-1-1-1-1-1-1-74	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw412-1-8-12-2-64-17-2-2-4-2-1-1-1-1-1-79	0.76	0.44	1.3	0.28099	NS
C	HLA-Cw412-1-8-35-2-64-11-2-2-4-2-1-1-1-1-1-79	0.86	0.58	1.26	0.41106	NS
C	HLA-Cw414-1-3-78-16-139-20-24-2-10-14-1-13-1-1-1-108	0.76	0.39	1.47	0.38183	NS
C	HLA-Cw414-1-3-79-2-118-2-2-2-3-2-1-1-1-2-1-103	1.05	0.66	1.67	0.83936	NS
C	HLA-Cw414-1-9-40-2-72-2-2-2-3-2-1-1-1-2-1-81	1.03	0.75	1.43	0.82997	NS
C	HLA-Cw417-7-10-51-10-85-13-15-7-7-8-1-7-3-6-1-85	1.19	0.91	1.55	0.19451	NS
C	HLA-Cw417-7-13-53-11-88-13-15-7-7-8-1-7-3-7-1-89	1.9	1.44	2.5	2.1052e-06	*
C	HLA-Cw421-7-13-55-10-93-13-15-7-7-11-1-7-3-6-1-94	0.93	0.35	2.42	0.86095	NS
C	HLA-Cw425-1-17-91-9-129-18-21-1-1-13-1-1-1-9-1-125	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw427-4-3-94-2-135-19-4-3-3-4-1-12-1-1-1-126	0.86	0.41	1.77	0.64917	NS
C	HLA-Cw429-9-3-103-17-144-21-25-10-11-15-1-15-1-10-1-127	2.58	0.94	8.15	0.043275	*
C	binned	0.55	0.25	1.12	0.076781	NS
B	HLA-Bw0-9-13-78-25-88-1-1-1-1-17-1-7-1-0	0.29	0.15	0.52	8.8961e-06	*
B	HLA-Bw627-1-1-1-1-1-1-1-1-1-1-1-1-1-91	1.99	1.5	2.64	6.65e-07	*
B	HLA-Bw633-1-2-23-24-81-15-6-1-5-16-1-4-2-39	0.79	0.25	2.4	0.64286	NS
B	HLA-Bw633-1-2-66-24-81-15-6-1-5-5-1-4-2-157	0.38	0.12	1.02	0.035653	*
B	HLA-Bw633-1-2-7-3-10-2-3-1-3-2-1-2-1-108	1.38	1	1.91	0.042198	*
B	HLA-Bw636-3-3-19-5-19-4-3-2-4-4-1-1-1-115	0.54	0.26	1.08	0.063023	NS
B	HLA-Bw639-1-4-23-6-24-5-6-1-5-5-1-4-2-117	0.65	0.21	1.83	0.36447	NS
B	HLA-Bw639-1-4-24-7-24-5-6-1-5-5-1-4-2-119	0.81	0.42	1.53	0.4901	NS
B	HLA-Bw641-4-5-25-8-27-6-7-3-6-7-1-1-2-120	0.95	0.62	1.48	0.82567	NS
B	HLA-Bw649-6-5-49-19-54-9-3-6-3-13-1-6-1-140	0.67	0.36	1.23	0.17167	NS
B	HLA-Bw649-6-5-63-18-77-11-7-7-6-12-1-1-2-156	1.41	0.7	2.9	0.29611	NS
B	HLA-Bw649-6-5-79-19-57-9-3-6-3-14-1-6-1-242	1.02	0.4	2.61	0.9637	NS
B	HLA-Bw649-6-9-40-18-50-11-7-2-6-11-1-1-2-132	1.21	0.81	1.79	0.33145	NS
B	HLA-Bw652-3-10-90-26-105-9-17-6-3-19-1-9-1-184	0.68	0.45	1.02	0.052337	NS
B	HLA-Bw652-3-10-90-26-107-9-17-6-3-19-1-9-1-186	0.63	0.35	1.12	0.093295	NS
B	HLA-Bw654-8-11-109-35-128-14-13-5-6-15-1-1-2-194	0.84	0.53	1.33	0.4271	NS
