Locus	Allele	Group.0	Group.1
A	HLA-Aw0-43-0-5-0-94-0-4-0-3-0-2-0-1-0-1-0	0	2
A	HLA-Aw14-7-10-41-18-97-6-21-2-8-11-2-9-2-4-1-66	3	0
A	HLA-Aw15-7-10-65-4-9-2-4-2-3-2-2-1-1-2-1-121	2	1
A	HLA-Aw24-5-4-80-4-9-2-4-2-3-2-2-1-1-2-1-14	1	0
A	HLA-Aw27-1-7-20-10-33-7-1-1-1-5-1-4-3-5-1-14	1	3
A	HLA-Aw27-1-7-20-10-657-7-1-1-1-5-1-4-3-5-1-123	0	1
A	HLA-Aw40-6-5-30-15-49-9-16-1-7-9-2-6-1-9-1-52	0	2
A	HLA-Aw49-7-10-61-18-56-6-21-2-8-11-2-9-2-4-1-65	3	7
A	HLA-Aw52-11-20-78-27-28-6-10-10-4-12-2-3-2-4-1-71	0	1
A	HLA-Aw52-8-12-45-19-64-15-10-7-9-12-2-3-2-4-1-71	5	0
A	HLA-Aw56-1-3-49-20-71-16-1-1-1-16-1-1-1-5-1-14	0	4
A	HLA-Aw58-8-15-59-22-72-18-23-7-9-17-2-10-2-4-1-76	2	5
A	HLA-Aw8-5-4-10-4-9-2-4-2-3-2-2-1-1-2-1-14	1	0
A	HLA-Aw8-5-4-13-4-9-2-4-2-3-2-2-1-1-2-1-14	0	1
A	HLA-Aw8-5-4-5-4-14-2-4-2-3-2-2-1-1-2-1-14	1	0
A	HLA-Aw8-5-4-5-4-9-2-50-2-3-2-2-1-1-2-1-19	0	1
A	HLA-Aw8-5-4-8-4-10-4-4-2-3-2-2-1-1-2-1-14	0	2
C	HLA-Cw0-0-0-53-0-1164-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-4-3-94-2-135-19-23-3-3-4-1-12-1-1-1-0	4	1
C	HLA-Cw0-5-0-498-0-50-0-9-0-6-0-1-0-1-0-0-0	0	1
C	HLA-Cw0-5-4-13-7-26-4-6-4-2-6-1-1-1-5-1-0	2	1
C	HLA-Cw0-7-0-820-0-85-0-15-0-7-0-1-0-3-0-1-0	0	1
C	HLA-Cw223-4-3-94-2-147-19-4-3-3-4-1-12-1-1-1-107	1	0
C	HLA-Cw223-4-3-94-2-155-19-4-3-3-4-1-12-1-1-1-2	0	1
C	HLA-Cw223-8-3-94-2-136-19-4-2-3-4-1-12-1-1-1-2	4	2
C	HLA-Cw239-1-8-35-2-64-11-11-2-4-2-1-1-1-1-1-18	1	0
C	HLA-Cw243-7-13-53-11-157-14-15-7-7-8-1-7-3-7-1-29	0	1
C	HLA-Cw412-1-8-12-14-104-11-2-2-4-2-1-1-1-1-1-79	1	1
C	HLA-Cw414-1-3-101-16-139-20-24-2-10-14-1-13-1-1-1-108	6	4
C	HLA-Cw414-1-3-78-16-141-20-24-2-10-14-1-13-1-1-1-110	2	0
C	HLA-Cw427-4-3-94-2-154-19-4-3-3-4-1-12-1-1-1-126	1	0
C	HLA-Cw434-5-5-23-8-50-10-9-1-1-1-1-1-1-1-1-77	1	0
B	HLA-Bw0-0-0-129-0-70-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-53-0-1097-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-11-14-122-21-141-10-3-5-6-24-1-1-2-0	4	5
B	HLA-Bw0-4-0-25-0-216-0-7-0-6-0-1-0-2-0	0	1
B	HLA-Bw0-4-5-28-8-30-6-7-3-6-7-1-1-2-0	0	2
B	HLA-Bw0-4-8-33-13-37-6-7-3-6-7-1-1-2-0	0	1
B	HLA-Bw0-6-0-145-0-54-0-3-0-3-0-1-0-1-0	2	0
B	HLA-Bw0-6-16-106-33-122-23-3-6-9-13-1-11-1-28	3	3
B	HLA-Bw627-1-1-1-1-3-1-1-1-2-1-1-1-1-103	4	1
B	HLA-Bw627-1-1-1-24-362-1-1-1-1-1-1-1-1-1	1	1
B	HLA-Bw627-1-1-75-1-123-1-18-1-1-1-1-1-1-190	1	0
B	HLA-Bw633-1-2-23-24-169-32-6-1-5-5-1-4-2-166	1	0
B	HLA-Bw636-3-3-19-5-18-4-3-2-4-4-1-1-1-113	1	0
B	HLA-Bw641-4-5-25-8-33-6-7-3-6-7-1-1-2-124	0	2
B	HLA-Bw641-4-5-29-8-30-6-7-3-6-7-1-1-2-124	1	1
B	HLA-Bw641-4-7-25-8-309-6-7-3-6-66-1-1-2-16	1	0
B	HLA-Bw643-4-8-27-11-29-6-7-3-6-9-1-1-2-123	0	1
B	HLA-Bw645-4-8-34-13-38-6-7-3-6-7-1-1-2-16	4	6
B	HLA-Bw648-4-5-155-8-30-6-7-3-6-7-1-1-2-111	1	0
B	HLA-Bw649-6-5-47-19-54-9-3-6-3-13-1-6-1-28	3	6
B	HLA-Bw649-6-5-79-19-91-9-3-6-3-14-1-6-1-28	1	1
B	HLA-Bw649-6-9-42-18-50-12-7-2-6-12-1-1-2-26	1	0
B	HLA-Bw652-3-10-90-26-105-9-7-3-6-7-1-1-2-19	3	1
B	HLA-Bw652-3-10-90-26-112-9-17-6-3-19-1-9-1-50	5	1
B	HLA-Bw654-8-11-109-35-130-14-13-5-6-15-1-1-2-61	0	2
B	HLA-Bw654-8-11-110-21-63-14-13-5-6-15-1-1-2-65	2	2
B	HLA-Bw654-8-11-111-35-128-14-13-5-6-15-1-1-2-208	0	1
B	HLA-Bw654-8-11-129-21-63-14-13-5-6-15-1-1-2-221	5	3
B	HLA-Bw654-8-11-53-21-70-14-13-5-6-15-1-1-2-4	3	3
B	HLA-Bw658-8-11-1391-35-128-14-13-5-6-15-1-1-2-4	1	0
B	HLA-Bw662-10-13-78-29-101-2-3-1-3-2-1-2-1-6	2	5
B	HLA-Bw662-10-15-78-32-170-25-7-3-6-20-1-10-2-58	0	2
B	HLA-Bw675-3-10-90-26-111-9-17-6-3-19-1-9-1-50	2	0
B	HLA-Bw686-12-17-128-36-174-27-20-2-10-26-1-1-1-73	1	0
B	HLA-Bw691-1-18-135-41-154-28-24-9-11-27-1-14-2-82	0	1
B	HLA-Bw806-8-11-109-35-157-14-13-5-6-15-1-1-2-209	1	1
B	HLA-Bw811-1-2-72-24-81-15-6-1-5-5-1-4-2-158	0	1
B	HLA-Bw823-12-17-128-36-145-27-20-2-10-26-1-1-1-220	1	1
DRB1	HLA-DRB1w0-0-0-205-0-15-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-3-0-1217-0-2-0-2-0-2-0-1-0	3	3
DRB1	HLA-DRB1w0-3-0-686-0-2-0-5-0-1-0-1-0	5	1
DRB1	HLA-DRB1w0-3-0-698-0-2-0-5-0-3-0-1-0	1	0
DRB1	HLA-DRB1w0-5-0-367-0-20-0-1-0-1-0-1-0	5	1
DRB1	HLA-DRB1w10-6-99-774-951-4-23-2-6-1-11-1-10	3	4
DRB1	HLA-DRB1w13-3-25-864-27-2-25-2-8-2-3-1-14	2	0
DRB1	HLA-DRB1w24-1-39-1856-47-47-33-2-13-1-21-1-19	4	1
DRB1	HLA-DRB1w30-3-109-1457-13-2-18-2-2-2-3-1-21	1	0
DRB1	HLA-DRB1w6-5-13-318-16-20-20-1-3-1-6-1-6	5	4
DRB1	HLA-DRB1w9-3-18-681-20-2-22-5-5-3-10-1-9	2	3
DQB1	HLA-DQB1w0-5-0-422-0-76-0-6-0-0-0-0-0	2	1
DQB1	HLA-DQB1w26-2-3-141-4-12-4-2-3-1-3-1-3	0	1
DQB1	HLA-DQB1w38-2-3-170-4-12-17-2-3-1-3-1-3	1	0
DQB1	HLA-DQB1w4-2-20-91-5-39-4-2-3-1-13-1-3	3	0
DQB1	HLA-DQB1w6-3-5-143-6-22-5-3-5-1-4-1-4	2	0
DPB1	HLA-DPB1w0-0-0-597-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w2-1-17-621-1861-2-805-1-4-1-4	1	0
DPB1	HLA-DPB1w2-1-4-203-4-2-3-2-2-1-2	4	1
DPB1	HLA-DPB1w2-1-5-124-1877-3-806-2-1-1-1	6	4
DPB1	HLA-DPB1w2-1-64-150-1908-8-3-5-2-1-11	3	7
DPB1	HLA-DPB1w2-1-69-295-1916-3-812-2-1-1-1	0	1
DPB1	HLA-DPB1w2-1-7-590-8-6-2-2-1-1-1	0	1
DPB1	HLA-DPB1w3-1-10-476-4-2-3-2-2-1-2	0	1
DPB1	HLA-DPB1w3-1-10-8011-4-2-3-2-2-1-19	0	1
DPB1	HLA-DPB1w3-1-10-8054-4-2-3-2-18-1-2	0	1
DPB1	HLA-DPB1w3-1-56-82-4-2-3-2-2-1-2	3	3
