Locus	Allele	Group.0	Group.1
A	HLA-Aw0-7-10-65-18-81-22-30-2-3-2-2-1-1-2-1-81	22	14
A	HLA-Aw2-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-4	125	147
A	HLA-Aw27-1-7-20-10-32-7-1-1-1-5-1-4-3-5-1-14	114	141
A	HLA-Aw31-1-1-24-13-38-1-1-1-1-7-1-1-1-6-1-41	53	51
A	HLA-Aw40-6-5-30-15-46-9-16-1-6-9-2-6-1-9-1-52	12	16
A	HLA-Aw40-6-5-30-15-48-9-16-1-7-9-2-6-1-9-1-52	74	91
A	HLA-Aw49-7-10-40-18-56-6-21-2-8-11-2-9-2-4-1-65	21	27
A	HLA-Aw49-7-10-41-18-56-6-21-2-8-11-2-9-2-4-1-65	31	20
A	HLA-Aw52-8-12-45-19-65-15-10-7-9-12-2-3-2-4-1-71	31	19
A	HLA-Aw52-8-17-57-9-28-6-10-10-4-12-2-3-2-4-1-71	36	31
A	HLA-Aw56-1-3-47-20-69-16-1-1-1-14-1-1-1-5-1-14	12	12
A	HLA-Aw56-1-3-49-21-70-17-1-1-1-15-1-1-1-10-1-14	5	16
A	HLA-Aw58-8-15-52-22-72-18-23-7-9-17-2-10-2-4-1-76	30	21
A	HLA-Aw58-8-15-59-22-75-18-26-7-9-17-2-10-2-4-1-76	11	3
A	HLA-Aw60-7-10-67-18-82-4-30-2-3-2-2-1-1-2-1-14	9	15
A	HLA-Aw8-5-4-5-4-9-2-4-2-3-2-2-1-1-2-1-14	223	164
A	HLA-Aw8-5-4-9-4-10-4-4-2-3-2-2-1-1-2-1-14	10	4
A	binned	19	30
C	HLA-Cw0-1-0-79-0-10-0-4-0-3-0-1-0-1-0-1-0	8	7
C	HLA-Cw0-4-0-207-0-13-0-3-0-2-0-1-0-1-0-1-0	43	34
C	HLA-Cw396-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-59	26	20
C	HLA-Cw404-5-4-13-7-27-4-6-4-1-6-1-1-1-5-1-116	68	37
C	HLA-Cw404-5-4-14-7-27-4-6-4-1-6-1-1-1-5-1-115	46	41
C	HLA-Cw408-5-5-22-8-50-8-9-1-6-1-1-1-1-1-1-74	91	75
C	HLA-Cw412-1-8-12-2-64-17-2-2-4-2-1-1-1-1-1-79	36	27
C	HLA-Cw412-1-8-35-2-64-11-2-2-4-2-1-1-1-1-1-79	67	57
C	HLA-Cw414-1-3-78-16-139-20-24-2-10-14-1-13-1-1-1-108	24	18
C	HLA-Cw414-1-3-79-2-118-2-2-2-3-2-1-1-1-2-1-103	41	42
C	HLA-Cw414-1-9-40-2-72-2-2-2-3-2-1-1-1-2-1-81	87	88
C	HLA-Cw417-7-10-51-10-85-13-15-7-7-8-1-7-3-6-1-85	129	146
C	HLA-Cw417-7-13-53-11-88-13-15-7-7-8-1-7-3-7-1-89	102	171
C	HLA-Cw421-7-13-55-10-93-13-15-7-7-11-1-7-3-6-1-94	11	10
C	HLA-Cw425-1-17-91-9-129-18-21-1-1-13-1-1-1-9-1-125	10	5
C	HLA-Cw427-4-3-94-2-135-19-4-3-3-4-1-12-1-1-1-126	19	16
C	HLA-Cw429-9-3-103-17-144-21-25-10-11-15-1-15-1-10-1-127	6	15
C	binned	24	13
B	HLA-Bw0-9-13-78-25-88-1-1-1-1-17-1-7-1-0	51	15
B	HLA-Bw627-1-1-1-1-1-1-1-1-1-1-1-1-1-91	94	165
B	HLA-Bw633-1-2-23-24-81-15-6-1-5-16-1-4-2-39	9	7
B	HLA-Bw633-1-2-66-24-81-15-6-1-5-5-1-4-2-157	16	6
B	HLA-Bw633-1-2-7-3-10-2-3-1-3-2-1-2-1-108	78	102
B	HLA-Bw636-3-3-19-5-19-4-3-2-4-4-1-1-1-115	26	14
B	HLA-Bw639-1-4-23-6-24-5-6-1-5-5-1-4-2-117	11	7
B	HLA-Bw639-1-4-24-7-24-5-6-1-5-5-1-4-2-119	25	20
B	HLA-Bw641-4-5-25-8-27-6-7-3-6-7-1-1-2-120	49	46
B	HLA-Bw649-6-5-49-19-54-9-3-6-3-13-1-6-1-140	30	20
B	HLA-Bw649-6-5-63-18-77-11-7-7-6-12-1-1-2-156	16	22
B	HLA-Bw649-6-5-79-19-57-9-3-6-3-14-1-6-1-242	11	11
B	HLA-Bw649-6-9-40-18-50-11-7-2-6-11-1-1-2-132	54	63
B	HLA-Bw652-3-10-90-26-105-9-17-6-3-19-1-9-1-184	67	46
B	HLA-Bw652-3-10-90-26-107-9-17-6-3-19-1-9-1-186	35	22
B	HLA-Bw654-8-11-109-35-128-14-13-5-6-15-1-1-2-194	47	39
B	HLA-Bw654-8-11-114-35-128-14-13-5-6-15-1-1-2-211	8	7
B	HLA-Bw654-8-11-53-21-63-14-13-5-6-15-1-1-2-30	55	41
B	HLA-Bw654-8-11-53-21-66-14-13-5-6-15-1-1-2-145	7	8
B	HLA-Bw654-8-11-53-21-68-14-13-5-6-15-1-1-2-147	14	13
B	HLA-Bw662-10-13-78-3-10-2-3-1-3-2-1-2-1-6	4	10
B	HLA-Bw662-10-15-78-32-115-21-7-3-6-20-1-10-2-243	5	7
B	HLA-Bw662-10-15-78-32-125-25-7-3-6-20-1-10-2-192	9	13
