Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.83	0.64	1.09	0.1631	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	1.44	1.02	2.02	0.030057	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	1.09	0.63	1.85	0.73726	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	1.59	1.07	2.36	0.014996	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	0.98	0.56	1.67	0.92696	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.69	0.4	1.14	0.12869	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.39	0.1	1.2	0.081352	NS
A	binned	2.41	0.4	16.5	0.23752	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.72	0.4	1.25	0.22126	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	0.64	0.3	1.29	0.19102	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.54	0.21	1.25	0.12894	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	1.15	0.62	2.08	0.62796	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.53	0.29	0.91	0.015787	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.89	0.33	2.24	0.79798	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	1.07	0.71	1.61	0.73631	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.9	0.6	1.34	0.60462	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	1.19	0.8	1.76	0.35829	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	1.49	1.07	2.08	0.013727	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	1.13	0.68	1.86	0.61163	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	1	0.26	3.34	0.99403	NS
C	binned	0.67	0.21	1.81	0.39864	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.54	0.28	0.99	0.035304	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	1.91	1.29	2.84	0.0006119	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0.93	0.43	1.91	0.83412	NS
