Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	1	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	2	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	2	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	9	4
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	3	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	3	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-111	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-117	9	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-124	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	5	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-145	6	7
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-16	3	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-166	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	3	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-190	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-208	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-209	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-211	8	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-220	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-221	4	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-242	6	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-243	5	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-39	9	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	4	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-50	6	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-58	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	2	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-73	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-82	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-10	3	2
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-11	7	6
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-19	3	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-21	1	0
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-23	4	2
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-6	4	2
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-9	2	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-10	8	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-11	1	2
DPB1	Nothing.binned	NA	NA
