Locus	Allele	Group.0	Group.1
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
A	HLA-Aw24-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	4	2
C	HLA-Cw239-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	4
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3	5
B	HLA-Bw648-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw658-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw675-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
B	HLA-Bw691-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw806-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-0	5	5
B	HLA-Bw823-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w10-0-0-0-0-0-0-0-0-0-0-0-0	3	2
DRB1	HLA-DRB1w11-0-0-0-0-0-0-0-0-0-0-0-0	7	6
DRB1	HLA-DRB1w16-0-0-0-0-0-0-0-0-0-0-0-0	8	5
DRB1	HLA-DRB1w24-0-0-0-0-0-0-0-0-0-0-0-0	3	1
DRB1	HLA-DRB1w30-0-0-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w6-0-0-0-0-0-0-0-0-0-0-0-0	4	2
DRB1	HLA-DRB1w9-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w13-0-0-0-0-0-0-0-0-0-0-0-0	8	4
DQB1	HLA-DQB1w38-0-0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	Nothing.binned	NA	NA
