Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	18	6
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	101	76
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	80	45
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	43	26
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	68	57
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	44	24
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	61	24
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	16	22
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	39	12
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	10
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	191	73
A	binned	4	1
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	49	20
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	24	11
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	95	40
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	76	45
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	90	46
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	141	72
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	154	112
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	5
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	16	8
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	6	11
C	binned	14	6
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	54	19
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-0	46	24
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-0	87	68
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-0	25	11
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-0	34	15
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-0	43	27
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-0	95	55
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-0	90	30
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-0	122	66
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-0	30	30
B	HLA-Bw683-0-0-0-0-0-0-0-0-0-0-0-0-0-0	11	5
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-0	23	14
B	binned	14	12
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	58	27
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-0	85	32
DRB1	HLA-DRB1w13-0-0-0-0-0-0-0-0-0-0-0-0	8	6
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-0	26	14
DRB1	HLA-DRB1w17-0-0-0-0-0-0-0-0-0-0-0-0	39	31
DRB1	HLA-DRB1w19-0-0-0-0-0-0-0-0-0-0-0-0	32	27
DRB1	HLA-DRB1w2-0-0-0-0-0-0-0-0-0-0-0-0	13	7
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-0	17	11
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-0	32	16
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-0	157	123
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-0	75	29
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-0	104	36
DRB1	binned	28	17
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-0	72	80
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-0	103	44
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-0	36	20
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-0	72	61
DQB1	HLA-DQB1w16-0-0-0-0-0-0-0-0-0-0-0-0	22	7
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-0	76	28
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-0	166	82
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-0	86	39
DQB1	HLA-DQB1w7-0-0-0-0-0-0-0-0-0-0-0-0	30	11
DQB1	binned	11	4
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-0	114	50
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-0	532	307
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-0	28	17
