Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-10-0-9-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-20-0-33-0-0-0-0-0-0-0-0-0-0-0	0	3
A	HLA-Aw0-0-0-30-0-49-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-41-0-97-0-0-0-0-0-0-0-0-0-0-0	2	0
A	HLA-Aw0-0-0-45-0-64-0-0-0-0-0-0-0-0-0-0-0	4	0
A	HLA-Aw0-0-0-49-0-71-0-0-0-0-0-0-0-0-0-0-0	0	3
A	HLA-Aw0-0-0-5-0-14-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-5-0-94-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-59-0-72-0-0-0-0-0-0-0-0-0-0-0	2	2
A	HLA-Aw0-0-0-59-0-75-0-0-0-0-0-0-0-0-0-0-0	11	2
A	HLA-Aw0-0-0-61-0-56-0-0-0-0-0-0-0-0-0-0-0	3	5
A	HLA-Aw0-0-0-65-0-9-0-0-0-0-0-0-0-0-0-0-0	1	1
A	HLA-Aw0-0-0-78-0-28-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-80-0-9-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-9-0-10-0-0-0-0-0-0-0-0-0-0-0	10	3
C	HLA-Cw0-0-0-101-0-139-0-0-0-0-0-0-0-0-0-0-0	5	3
C	HLA-Cw0-0-0-12-0-104-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-13-0-26-0-0-0-0-0-0-0-0-0-0-0	2	1
C	HLA-Cw0-0-0-498-0-50-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-53-0-1164-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-78-0-141-0-0-0-0-0-0-0-0-0-0-0	2	0
C	HLA-Cw0-0-0-79-0-10-0-0-0-0-0-0-0-0-0-0-0	8	4
C	HLA-Cw0-0-0-91-0-129-0-0-0-0-0-0-0-0-0-0-0	9	4
C	HLA-Cw0-0-0-94-0-136-0-0-0-0-0-0-0-0-0-0-0	3	1
C	HLA-Cw0-0-0-94-0-147-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-94-0-155-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-1-0-3-0-0-0-0-0-0-0-0-0	3	0
B	HLA-Bw0-0-0-106-0-122-0-0-0-0-0-0-0-0-0	3	3
B	HLA-Bw0-0-0-109-0-157-0-0-0-0-0-0-0-0-0	1	1
