Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	240	169
A	HLA-Aw0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0-0	61	24
A	HLA-Aw0-0-0-0-0-0-0-16-0-0-0-0-0-0-0-0-0	68	57
A	HLA-Aw0-0-0-0-0-0-0-21-0-0-0-0-0-0-0-0-0	46	24
A	HLA-Aw0-0-0-0-0-0-0-23-0-0-0-0-0-0-0-0-0	28	10
A	HLA-Aw0-0-0-0-0-0-0-30-0-0-0-0-0-0-0-0-0	27	14
A	HLA-Aw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	193	75
A	binned	11	3
C	HLA-Cw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0-0	24	11
C	HLA-Cw0-0-0-0-0-0-0-15-0-0-0-0-0-0-0-0-0	163	117
C	HLA-Cw0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0-0	203	110
C	HLA-Cw0-0-0-0-0-0-0-24-0-0-0-0-0-0-0-0-0	28	8
C	HLA-Cw0-0-0-0-0-0-0-25-0-0-0-0-0-0-0-0-0	6	11
C	HLA-Cw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0-0	34	14
C	HLA-Cw0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0-0	28	14
C	HLA-Cw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0-0-0	97	41
C	HLA-Cw0-0-0-0-0-0-0-9-0-0-0-0-0-0-0-0-0	76	46
C	binned	15	4
B	HLA-Bw0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	90	31
B	HLA-Bw0-0-0-0-0-0-0-13-0-0-0-0-0-0-0	124	67
B	HLA-Bw0-0-0-0-0-0-0-17-0-0-0-0-0-0-0	89	29
B	HLA-Bw0-0-0-0-0-0-0-20-0-0-0-0-0-0-0	24	14
B	HLA-Bw0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	147	115
B	HLA-Bw0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	63	26
B	HLA-Bw0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	136	92
B	binned	1	2
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	229	92
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	315	237
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	104	36
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	26	10
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	148	108
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	167	82
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	138	57
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	141	64
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	8	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	72	61
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	30	25
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	620	334
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	21	10
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	3	5
