Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	0.66469	0.72074
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0	0.21662	0.15957
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	0.11869	0.11968
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00148	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	0.75668	0.68883
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	0.24184	0.31117
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0	0.49852	0.47872
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0	0.50148	0.51862
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0.99468
