Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	1.58	1.18	2.11	0.0012312	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.86	0.66	1.12	0.25173	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	0.69	0.48	0.97	0.025642	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.7	0.53	0.94	0.013459	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	1.42	1.06	1.89	0.014864	*
C	binned	1.79	0.02	140.93	0.67523	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.05	Inf	0.18041	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	0.92	0.71	1.2	0.5385	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	1.07	0.83	1.39	0.59444	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.53	0.4	0.68	7.3354e-07	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	1.85	1.42	2.41	1.9314e-06	*
DRB1	binned	1.44	0.49	4.1	0.44085	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	9.55	0.29038	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.93	0.71	1.23	0.61661	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	1.09	0.82	1.43	0.54896	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	NCalc	NCalc	NCalc	NCalc	NCalc
