Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.23739	0.32979
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.11869	0.11968
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.4273	0.39096
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	0.21662	0.15957
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00148	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-0-0	0	0.00266
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.75668	0.68617
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.24184	0.31117
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	0.49852	0.47872
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	0.50148	0.51862
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.57418	0.41489
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	0.41098	0.56383
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-3-0-1-0	0.00445	0.00266
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-4-0-1-0	0.01039	0.01596
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.00297	0
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.67211	0.65691
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	0.32493	0.34309
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	1	0.99468
