Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	160	124
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	80	45
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	288	147
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	146	60
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	510	258
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	163	117
C	binned	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	336	180
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	338	195
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	387	156
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	277	212
DRB1	binned	10	8
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	453	247
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	219	129
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	NCalc	NCalc
