Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00532
A	HLA-Aw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.21365	0.27128
A	HLA-Aw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10979	0.10372
A	HLA-Aw0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04303	0.02394
A	HLA-Aw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.05786	0.03191
A	HLA-Aw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04748	0.03723
A	HLA-Aw0-0-20-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
A	HLA-Aw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.02374	0.05851
A	HLA-Aw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.28487	0.19415
A	HLA-Aw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10089	0.1516
A	HLA-Aw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.11869	0.11968
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.0638	0.05053
C	HLA-Cw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.03561	0.02926
C	HLA-Cw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.15727	0.21809
C	HLA-Cw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.08457	0.09309
C	HLA-Cw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.01335	0.01064
C	HLA-Cw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.13501	0.10904
C	HLA-Cw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.14392	0.10904
C	HLA-Cw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.11276	0.11968
C	HLA-Cw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.13501	0.12234
C	HLA-Cw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.11869	0.1383
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00297	0.00532
B	HLA-Bw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	0.06825	0.06383
B	HLA-Bw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	0.1365	0.07979
B	HLA-Bw0-0-11-0-0-0-0-0-0-0-0-0-0-0-0	0.18398	0.17819
B	HLA-Bw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0	0.07567	0.05053
B	HLA-Bw0-0-14-0-0-0-0-0-0-0-0-0-0-0-0	0.02226	0.02394
B	HLA-Bw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0	0.03561	0.04787
B	HLA-Bw0-0-16-0-0-0-0-0-0-0-0-0-0-0-0	0.00445	0.00798
B	HLA-Bw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0	0.03561	0.03723
B	HLA-Bw0-0-18-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
B	HLA-Bw0-0-2-0-0-0-0-0-0-0-0-0-0-0-0	0.1365	0.19415
B	HLA-Bw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0	0.03709	0.02926
B	HLA-Bw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0	0.05045	0.03989
B	HLA-Bw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0	0.13798	0.15957
B	HLA-Bw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0	0.00445	0.01596
B	HLA-Bw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	0.06825	0.06383
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.08605	0.07181
DRB1	HLA-DRB1w0-0-108-0-0-0-0-0-0-0-0-0-0	0.02522	0.02394
DRB1	HLA-DRB1w0-0-109-0-0-0-0-0-0-0-0-0-0	0.00148	0
DRB1	HLA-DRB1w0-0-11-0-0-0-0-0-0-0-0-0-0	0.10534	0.07181
DRB1	HLA-DRB1w0-0-13-0-0-0-0-0-0-0-0-0-0	0.00593	0.00532
DRB1	HLA-DRB1w0-0-14-0-0-0-0-0-0-0-0-0-0	0.00593	0.00532
DRB1	HLA-DRB1w0-0-15-0-0-0-0-0-0-0-0-0-0	0.1543	0.09574
DRB1	HLA-DRB1w0-0-18-0-0-0-0-0-0-0-0-0-0	0.00297	0.00266
DRB1	HLA-DRB1w0-0-20-0-0-0-0-0-0-0-0-0-0	0.01039	0.01596
DRB1	HLA-DRB1w0-0-22-0-0-0-0-0-0-0-0-0-0	0.13501	0.12766
DRB1	HLA-DRB1w0-0-25-0-0-0-0-0-0-0-0-0-0	0.00297	0
DRB1	HLA-DRB1w0-0-26-0-0-0-0-0-0-0-0-0-0	0.01335	0.0133
DRB1	HLA-DRB1w0-0-30-0-0-0-0-0-0-0-0-0-0	0.05786	0.08245
DRB1	HLA-DRB1w0-0-31-0-0-0-0-0-0-0-0-0-0	0.04748	0.07181
DRB1	HLA-DRB1w0-0-36-0-0-0-0-0-0-0-0-0-0	0.01187	0.0133
DRB1	HLA-DRB1w0-0-39-0-0-0-0-0-0-0-0-0-0	0.02967	0.03191
DRB1	HLA-DRB1w0-0-6-0-0-0-0-0-0-0-0-0-0	0.11424	0.06649
DRB1	HLA-DRB1w0-0-7-0-0-0-0-0-0-0-0-0-0	0.01929	0.01862
DRB1	HLA-DRB1w0-0-8-0-0-0-0-0-0-0-0-0-0	0.01187	0.01862
DRB1	HLA-DRB1w0-0-9-0-0-0-0-0-0-0-0-0-0	0.10682	0.21543
DRB1	HLA-DRB1w0-0-91-0-0-0-0-0-0-0-0-0-0	0.03858	0.03191
DRB1	HLA-DRB1w0-0-92-0-0-0-0-0-0-0-0-0-0	0.0089	0.01064
DRB1	HLA-DRB1w0-0-99-0-0-0-0-0-0-0-0-0-0	0.00445	0.00532
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.00297	0
DQB1	HLA-DQB1w0-0-1-0-0-0-0-0-0-0-0-0-0	0.10682	0.21277
DQB1	HLA-DQB1w0-0-10-0-0-0-0-0-0-0-0-0-0	0.00148	0.00532
DQB1	HLA-DQB1w0-0-11-0-0-0-0-0-0-0-0-0-0	0.05935	0.08511
DQB1	HLA-DQB1w0-0-12-0-0-0-0-0-0-0-0-0-0	0.04599	0.07181
DQB1	HLA-DQB1w0-0-2-0-0-0-0-0-0-0-0-0-0	0.11276	0.07447
DQB1	HLA-DQB1w0-0-20-0-0-0-0-0-0-0-0-0-0	0.00445	0
DQB1	HLA-DQB1w0-0-22-0-0-0-0-0-0-0-0-0-0	0.03264	0.01862
DQB1	HLA-DQB1w0-0-3-0-0-0-0-0-0-0-0-0-0	0.24332	0.21809
DQB1	HLA-DQB1w0-0-5-0-0-0-0-0-0-0-0-0-0	0.1276	0.10372
DQB1	HLA-DQB1w0-0-6-0-0-0-0-0-0-0-0-0-0	0.04451	0.02926
DQB1	HLA-DQB1w0-0-7-0-0-0-0-0-0-0-0-0-0	0.18101	0.14894
DQB1	HLA-DQB1w0-0-8-0-0-0-0-0-0-0-0-0-0	0.02522	0.02128
DQB1	HLA-DQB1w0-0-9-0-0-0-0-0-0-0-0-0-0	0.01187	0.01064
