Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.34	Inf	0.05806	NS
A	HLA-Aw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	1.79	1.37	2.33	7.5439e-06	*
A	HLA-Aw0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0	0.83	0.41	1.61	0.56881	NS
A	HLA-Aw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	0.65	0.49	0.86	0.0017328	*
A	HLA-Aw0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0-0	0.53	0.3	0.89	0.011999	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0-0	0.98	0.68	1.4	0.92769	NS
C	HLA-Cw0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0-0	0.86	0.65	1.14	0.29033	NS
C	HLA-Cw0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0-0	0.76	0.3	1.76	0.5007	NS
C	HLA-Cw0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0-0	0.73	0.48	1.09	0.10881	NS
C	HLA-Cw0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0-0	1.42	1.06	1.89	0.014864	*
B	HLA-Bw0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	1.08	0.82	1.42	0.56425	NS
B	HLA-Bw0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	0.91	0.62	1.34	0.63116	NS
B	HLA-Bw0-0-0-0-0-0-0-0-3-0-0-0-0-0-0	1.36	0.91	2.01	0.10824	NS
B	HLA-Bw0-0-0-0-0-0-0-0-5-0-0-0-0-0-0	0.98	0.7	1.35	0.87446	NS
B	HLA-Bw0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	0.67	0.46	0.97	0.028687	*
B	HLA-Bw0-0-0-0-0-0-0-0-7-0-0-0-0-0-0	1.47	0.64	3.31	0.30432	NS
B	binned	2.7	0.31	32.46	0.25809	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.49	1.35	0.41717	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-1-0-0-0-0	0.68	0.45	1.02	0.054568	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-13-0-0-0-0	1.08	0.47	2.35	0.83947	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-2-0-0-0-0	2.26	1.58	3.24	2.5518e-06	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-3-0-0-0-0	0.72	0.49	1.06	0.084612	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-4-0-0-0-0	0.58	0.38	0.88	0.007446	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-8-0-0-0-0	1.2	0.9	1.6	0.19771	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-9-0-0-0-0	1	0.26	3.34	0.99403	NS
DRB1	binned	1.26	0.58	2.67	0.50697	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-1-0-0-0-0	1.43	1.06	1.93	0.014378	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-11-0-0-0-0	1.53	0.93	2.53	0.074221	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-12-0-0-0-0	1.6	0.91	2.83	0.079166	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-15-0-0-0-0	0.56	0.2	1.38	0.1837	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-3-0-0-0-0	0.85	0.62	1.15	0.27817	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-5-0-0-0-0	0.79	0.52	1.2	0.25211	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-6-0-0-0-0	0.65	0.29	1.35	0.22115	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-7-0-0-0-0	0.79	0.55	1.13	0.18419	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-9-0-0-0-0	0.84	0.31	2.08	0.68761	NS
DQB1	binned	0.71	0.16	2.5	0.56957	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-1-0-0	0.88	0.67	1.18	0.38148	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-12-0-0	0.6	0.17	1.74	0.3138	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-18-0-0	Inf	0.05	Inf	0.17925	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-2-0-0	1.16	0.84	1.6	0.35085	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-3-0-0	0.59	0.23	1.38	0.19997	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-4-0-0	1.54	0.85	2.75	0.12034	NS
