Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	101	76
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0	46	24
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0	61	24
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0	11	8
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0-0-0	5	11
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-17-0-0-0-0-0-0	39	12
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	220	88
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0-0-0	80	45
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0	43	26
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0	68	57
A	binned	0	5
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	43	19
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0	100	56
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0	9	5
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-0	9	4
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-14-0-0-0-0-0-0	28	8
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0-0-0	6	11
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0	204	110
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0	24	10
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0	97	41
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0	154	112
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-1-0-0-0-0	46	24
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-10-0-0-0-0	11	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-11-0-0-0-0	46	24
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-12-0-0-0-0	16	13
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-13-0-0-0-0	29	19
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-15-0-0-0-0	124	67
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-17-0-0-0-0	45	7
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-19-0-0-0-0	89	29
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-2-0-0-0-0	69	74
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-20-0-0-0-0	24	18
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-25-0-0-0-0	22	14
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-4-0-0-0-0	25	11
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-5-0-0-0-0	54	22
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-7-0-0-0-0	50	36
B	binned	24	13
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	58	27
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-1-0-0	85	32
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-13-0-0	9	5
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-15-0-0	71	58
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-16-0-0	17	9
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-2-0-0	13	7
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-20-0-0	17	11
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-3-0-0	166	129
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-4-0-0	75	29
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-6-0-0	36	18
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-7-0-0	104	36
DRB1	binned	23	15
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-1-0-0	72	80
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-10-0-0	41	34
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-11-0-0	31	27
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-14-0-0	22	7
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-2-0-0	76	28
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-3-0-0	164	82
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-4-0-0	86	39
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-5-0-0	30	11
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-6-0-0	103	44
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-7-0-0	17	8
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-8-0-0	19	12
DQB1	binned	13	4
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
