Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	1.44	1.02	2.02	0.030057	*
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	1.09	0.63	1.85	0.73726	NS
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	0.39	0.1	1.2	0.081352	NS
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	2.02	0.73	5.67	0.12273	NS
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.93	0.53	1.59	0.78312	NS
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	0.55	0.22	1.2	0.11228	NS
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	0.54	0.25	1.06	0.060755	NS
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	0.78	0.38	1.52	0.43683	NS
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	1.31	0.45	3.61	0.56351	NS
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	4.03	1.28	14.9	0.0056155	*
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.62	0.45	0.85	0.0022847	*
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	1.59	1.07	2.36	0.014996	*
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	1.01	0.67	1.51	0.96225	NS
A	binned	1.65	0.62	4.31	0.25419	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.42	1.39	0.38192	NS
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	1.49	1.07	2.08	0.013727	*
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	1	0.26	3.34	0.99403	NS
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	1.13	0.68	1.86	0.61163	NS
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	0.76	0.3	1.76	0.5007	NS
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	0.64	0.3	1.29	0.19102	NS
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	0.73	0.48	1.09	0.10881	NS
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	1.07	0.71	1.61	0.73631	NS
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	0.99	0.61	1.6	0.97126	NS
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	0.78	0.39	1.5	0.43706	NS
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	1.19	0.8	1.76	0.35829	NS
C	binned	0.69	0.19	2.07	0.47343	NS
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.93	0.53	1.59	0.78312	NS
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	0.55	0.34	0.86	0.0069036	*
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	1.06	0.69	1.61	0.76419	NS
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	0.83	0.48	1.41	0.47517	NS
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	0.27	0.1	0.6	0.00056529	*
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	0.81	0.22	2.56	0.70147	NS
B	HLA-Bw0-0-15-0-32-0-24-0-3-0-20-0-10-0-0	0.98	0.29	2.91	0.96436	NS
B	HLA-Bw0-0-15-0-32-0-25-0-3-0-20-0-10-0-0	2.04	0.69	6.13	0.13745	NS
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	1.15	0.54	2.38	0.69495	NS
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-5-0-4-0-0	0.25	0.03	1.11	0.050029	NS
B	HLA-Bw0-0-2-0-3-0-2-0-1-0-2-0-2-0-0	1.91	1.29	2.84	0.0006119	*
B	HLA-Bw0-0-3-0-5-0-4-0-2-0-4-0-1-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-0-4-0-7-0-5-0-1-0-5-0-4-0-0	0.93	0.43	1.91	0.83412	NS
B	HLA-Bw0-0-5-0-18-0-11-0-7-0-12-0-1-0-0	1.47	0.64	3.31	0.30432	NS
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-13-0-6-0-0	1.11	0.55	2.18	0.7525	NS
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	1.2	0.71	2	0.46934	NS
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	0.93	0.53	1.59	0.78312	NS
B	binned	1.42	0.92	2.18	0.094588	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.49	1.35	0.41717	NS
DRB1	HLA-DRB1w0-0-108-0-962-0-30-0-8-0-16-0-0	0.95	0.37	2.27	0.89767	NS
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	0.66	0.4	1.06	0.073319	NS
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	0.58	0.38	0.88	0.007446	*
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	0.85	0.5	1.43	0.52516	NS
DRB1	HLA-DRB1w0-0-22-0-29-0-25-0-8-0-3-0-0	0.92	0.47	1.73	0.78449	NS
DRB1	HLA-DRB1w0-0-26-0-30-0-26-0-9-0-13-0-0	1	0.26	3.34	0.99403	NS
DRB1	HLA-DRB1w0-0-30-0-34-0-27-0-8-0-15-0-0	1.46	0.87	2.45	0.12575	NS
DRB1	HLA-DRB1w0-0-31-0-36-0-28-0-8-0-15-0-0	1.55	0.88	2.72	0.10072	NS
DRB1	HLA-DRB1w0-0-39-0-46-0-33-0-13-0-20-0-0	1.16	0.49	2.67	0.69736	NS
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	0.55	0.33	0.9	0.012242	*
DRB1	HLA-DRB1w0-0-7-0-10-0-17-0-1-0-2-0-0	0.96	0.32	2.63	0.93923	NS
DRB1	HLA-DRB1w0-0-8-0-11-0-16-0-1-0-1-0-0	1.58	0.48	5.03	0.37703	NS
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	2.3	1.6	3.3	1.7357e-06	*
DRB1	HLA-DRB1w0-0-91-0-943-0-19-0-3-0-6-0-0	0.82	0.37	1.71	0.57953	NS
DRB1	binned	1.14	0.68	1.89	0.59225	NS
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	2.26	1.57	3.25	2.9026e-06	*
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	1.47	0.88	2.46	0.11331	NS
DQB1	HLA-DQB1w0-0-12-0-17-0-12-0-12-0-11-0-0	1.6	0.91	2.83	0.079166	NS
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	0.63	0.39	1.01	0.046437	*
DQB1	HLA-DQB1w0-0-22-0-34-0-18-0-15-0-14-0-0	0.56	0.2	1.38	0.1837	NS
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	0.87	0.64	1.19	0.38291	NS
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	0.79	0.52	1.2	0.25211	NS
DQB1	HLA-DQB1w0-0-6-0-7-0-6-0-6-0-5-0-0	0.65	0.29	1.35	0.22115	NS
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	0.73	0.49	1.09	0.10899	NS
DQB1	HLA-DQB1w0-0-7-0-13-0-9-0-7-0-8-0-0	1.14	0.5	2.5	0.73244	NS
DQB1	HLA-DQB1w0-0-8-0-12-0-8-0-9-0-7-0-0	0.84	0.31	2.08	0.68761	NS
DQB1	binned	0.71	0.22	1.96	0.48464	NS
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	1.08	0.52	2.17	0.8072	NS
DPB1	HLA-DPB1w0-0-16-0-1861-0-805-0-4-0-0	1.59	0.88	2.87	0.09473	NS
DPB1	HLA-DPB1w0-0-29-0-1895-0-809-0-12-0-0	0.6	0.17	1.74	0.3138	NS
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	0.73	0.49	1.08	0.10241	NS
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	1.16	0.78	1.7	0.43192	NS
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	1.05	0.81	1.37	0.69506	NS
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	0.9	0.6	1.32	0.56894	NS
DPB1	HLA-DPB1w0-0-60-0-1902-0-3-0-3-0-0	0.13	0	0.84	0.018125	*
DPB1	HLA-DPB1w0-0-62-0-1906-0-3-0-3-0-0	1.27	0.41	3.72	0.63385	NS
DPB1	HLA-DPB1w0-0-65-0-1910-0-2-0-1-0-0	1.27	0.41	3.72	0.63385	NS
DPB1	binned	1.3	0.69	2.44	0.37602	NS
