Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00532
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.14985	0.20213
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	0.0638	0.06915
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	0.02671	0.01064
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	0.01335	0.0266
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.06825	0.06383
A	HLA-Aw0-0-10-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.00148	0.00266
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	0.04303	0.02394
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	0.05786	0.03191
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	0.04748	0.03723
A	HLA-Aw0-0-20-0-27-0-6-0-10-0-12-0-3-0-4-0-0	0	0.00266
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	0.01632	0.02128
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-16-0-1-0-5-0-0	0	0.00798
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	0.00742	0.02926
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.27003	0.18617
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	0.01484	0.00798
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	0.10089	0.1516
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	0.11869	0.11968
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.0638	0.05053
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.03561	0.02926
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	0.15727	0.21809
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	0.01335	0.0133
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	0.07122	0.07979
C	HLA-Cw0-0-17-0-9-0-18-0-1-0-13-0-1-0-9-0-0	0.01335	0.01064
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	0.04154	0.02128
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	0.0089	0.02926
C	HLA-Cw0-0-3-0-2-0-19-0-2-0-4-0-12-0-1-0-0	0.00445	0.00266
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	0.03116	0.02394
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	0.04896	0.03191
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	0.14392	0.10904
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	0.11276	0.11968
C	HLA-Cw0-0-8-0-14-0-11-0-2-0-2-0-1-0-1-0-0	0.00148	0
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	0.08309	0.08245
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	0.05045	0.03989
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	0.11869	0.1383
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00297	0.00532
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.06825	0.06383
B	HLA-Bw0-0-10-0-26-0-9-0-3-0-7-0-1-0-0	0.00445	0.00266
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	0.13205	0.07713
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	0.10831	0.11436
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	0.07567	0.06383
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	0.06677	0.01862
B	HLA-Bw0-0-13-0-29-0-2-0-1-0-2-0-2-0-0	0.00297	0.01064
B	HLA-Bw0-0-13-0-3-0-2-0-1-0-2-0-2-0-0	0.00593	0.02128
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	0.01632	0.0133
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-24-0-1-0-0	0.00593	0.01064
B	HLA-Bw0-0-15-0-32-0-21-0-3-0-20-0-10-0-0	0.00742	0.00798
B	HLA-Bw0-0-15-0-32-0-24-0-3-0-20-0-10-0-0	0.01632	0.01596
B	HLA-Bw0-0-15-0-32-0-25-0-3-0-20-0-10-0-0	0.01187	0.02394
B	HLA-Bw0-0-16-0-33-0-23-0-6-0-13-0-11-0-0	0.00445	0.00798
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	0.03264	0.03723
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-26-0-1-0-0	0.00297	0
B	HLA-Bw0-0-18-0-41-0-28-0-9-0-27-0-14-0-0	0	0.00266
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-16-0-4-0-0	0.01335	0.01064
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-5-0-4-0-0	0.02077	0.00532
B	HLA-Bw0-0-2-0-24-0-32-0-1-0-5-0-4-0-0	0.00148	0
B	HLA-Bw0-0-2-0-3-0-2-0-1-0-2-0-2-0-0	0.09347	0.16489
B	HLA-Bw0-0-2-0-35-0-15-0-1-0-5-0-4-0-0	0.00742	0.0133
B	HLA-Bw0-0-3-0-5-0-4-0-2-0-4-0-1-0-0	0.03709	0.02926
B	HLA-Bw0-0-4-0-6-0-5-0-1-0-5-0-4-0-0	0.01335	0.00532
B	HLA-Bw0-0-4-0-7-0-5-0-1-0-5-0-4-0-0	0.03709	0.03457
B	HLA-Bw0-0-5-0-18-0-11-0-7-0-12-0-1-0-0	0.02374	0.03457
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-13-0-6-0-0	0.03858	0.04255
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-14-0-6-0-0	0.01039	0.00532
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	0.06528	0.07713
B	HLA-Bw0-0-8-0-13-0-6-0-3-0-7-0-1-0-0	0.00445	0.01596
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	0.06825	0.06383
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.08605	0.07181
DRB1	HLA-DRB1w0-0-108-0-962-0-30-0-8-0-16-0-0	0.02522	0.02394
DRB1	HLA-DRB1w0-0-109-0-13-0-18-0-2-0-3-0-0	0.00148	0
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	0.10534	0.07181
DRB1	HLA-DRB1w0-0-13-0-16-0-20-0-3-0-6-0-0	0.00593	0.00532
DRB1	HLA-DRB1w0-0-14-0-17-0-20-0-3-0-4-0-0	0.00593	0.00532
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	0.1543	0.09574
DRB1	HLA-DRB1w0-0-18-0-20-0-22-0-5-0-10-0-0	0.00297	0.00266
DRB1	HLA-DRB1w0-0-20-0-22-0-24-0-7-0-12-0-0	0.01039	0.01596
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	0.07715	0.06649
DRB1	HLA-DRB1w0-0-22-0-28-0-25-0-8-0-3-0-0	0.0089	0.01596
DRB1	HLA-DRB1w0-0-22-0-29-0-25-0-8-0-3-0-0	0.04896	0.04521
DRB1	HLA-DRB1w0-0-25-0-27-0-25-0-8-0-3-0-0	0.00297	0
DRB1	HLA-DRB1w0-0-26-0-30-0-26-0-9-0-13-0-0	0.01335	0.0133
DRB1	HLA-DRB1w0-0-30-0-34-0-27-0-8-0-15-0-0	0.05786	0.08245
DRB1	HLA-DRB1w0-0-31-0-36-0-28-0-8-0-15-0-0	0.04748	0.07181
DRB1	HLA-DRB1w0-0-36-0-43-0-32-0-11-0-18-0-0	0.01187	0.0133
DRB1	HLA-DRB1w0-0-39-0-46-0-33-0-13-0-20-0-0	0.02522	0.02926
DRB1	HLA-DRB1w0-0-39-0-47-0-33-0-13-0-21-0-0	0.00445	0.00266
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	0.11424	0.06649
DRB1	HLA-DRB1w0-0-7-0-10-0-17-0-1-0-2-0-0	0.01929	0.01862
DRB1	HLA-DRB1w0-0-8-0-11-0-16-0-1-0-1-0-0	0.01187	0.01862
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	0.10682	0.21543
DRB1	HLA-DRB1w0-0-91-0-943-0-19-0-3-0-6-0-0	0.03858	0.03191
DRB1	HLA-DRB1w0-0-92-0-944-0-20-0-3-0-6-0-0	0.0089	0.01064
DRB1	HLA-DRB1w0-0-99-0-951-0-23-0-6-0-11-0-0	0.00445	0.00532
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.00297	0
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	0.10682	0.21277
DQB1	HLA-DQB1w0-0-10-0-15-0-11-0-11-0-10-0-0	0.00148	0.00532
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	0.05935	0.08511
DQB1	HLA-DQB1w0-0-12-0-17-0-12-0-12-0-11-0-0	0.04599	0.07181
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	0.11276	0.07447
DQB1	HLA-DQB1w0-0-20-0-5-0-4-0-3-0-13-0-0	0.00445	0
DQB1	HLA-DQB1w0-0-22-0-34-0-18-0-15-0-14-0-0	0.03264	0.01862
DQB1	HLA-DQB1w0-0-3-0-4-0-17-0-3-0-3-0-0	0.00148	0
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	0.24184	0.21809
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	0.1276	0.10372
DQB1	HLA-DQB1w0-0-6-0-7-0-6-0-6-0-5-0-0	0.04451	0.02926
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	0.15282	0.11702
DQB1	HLA-DQB1w0-0-7-0-13-0-9-0-7-0-8-0-0	0.02819	0.03191
DQB1	HLA-DQB1w0-0-8-0-12-0-8-0-9-0-7-0-0	0.02522	0.02128
DQB1	HLA-DQB1w0-0-9-0-14-0-10-0-10-0-9-0-0	0.01187	0.01064
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-18-0-0	0	0.00266
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	0.03709	0.03989
DPB1	HLA-DPB1w0-0-16-0-1861-0-805-0-4-0-0	0.04303	0.06649
DPB1	HLA-DPB1w0-0-17-0-1861-0-805-0-4-0-0	0.00148	0
DPB1	HLA-DPB1w0-0-29-0-1895-0-809-0-12-0-0	0.02226	0.0133
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	0.15134	0.11436
DPB1	HLA-DPB1w0-0-3-0-3-0-2-0-1-0-0	0.00742	0.01596
DPB1	HLA-DPB1w0-0-3-0-4-0-3-0-2-0-0	0.01039	0.00266
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	0.12463	0.14096
DPB1	HLA-DPB1w0-0-5-0-1877-0-806-0-1-0-0	0.00445	0.00266
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	0.38872	0.39894
DPB1	HLA-DPB1w0-0-56-0-4-0-3-0-2-0-0	0.00445	0.00266
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	0.14095	0.12766
DPB1	HLA-DPB1w0-0-60-0-1902-0-3-0-3-0-0	0.02077	0.00266
DPB1	HLA-DPB1w0-0-62-0-1906-0-3-0-3-0-0	0.01484	0.01862
DPB1	HLA-DPB1w0-0-64-0-1908-0-3-0-2-0-0	0.00445	0.0133
DPB1	HLA-DPB1w0-0-65-0-1910-0-2-0-1-0-0	0.01484	0.01862
DPB1	HLA-DPB1w0-0-68-0-1913-0-811-0-2-0-0	0.0089	0.0133
