Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	101	76
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	43	26
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	18	4
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	9	10
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	46	24
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	29	9
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	39	12
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	32	14
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	11	8
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	5	11
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	182	70
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	68	57
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	80	45
A	binned	11	10
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	43	19
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	24	11
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	106	82
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	9	5
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	48	30
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	28	8
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	6	11
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	21	9
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	33	12
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	97	41
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	76	45
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	56	31
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	34	15
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	80	52
C	binned	13	5
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	46	24
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	89	29
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	73	43
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	51	24
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	45	7
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	11	5
B	HLA-Bw0-0-15-0-32-0-24-0-3-0-20-0-10-0-0	11	6
B	HLA-Bw0-0-15-0-32-0-25-0-3-0-20-0-10-0-0	8	9
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	22	14
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-5-0-4-0-0	14	2
B	HLA-Bw0-0-2-0-3-0-2-0-1-0-2-0-2-0-0	63	62
B	HLA-Bw0-0-3-0-5-0-4-0-2-0-4-0-1-0-0	25	11
B	HLA-Bw0-0-4-0-7-0-5-0-1-0-5-0-4-0-0	25	13
B	HLA-Bw0-0-5-0-18-0-11-0-7-0-12-0-1-0-0	16	13
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-13-0-6-0-0	26	16
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	44	29
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	46	24
B	binned	59	45
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	58	27
DRB1	HLA-DRB1w0-0-108-0-962-0-30-0-8-0-16-0-0	17	9
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	71	27
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	104	36
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	52	25
DRB1	HLA-DRB1w0-0-22-0-29-0-25-0-8-0-3-0-0	33	17
DRB1	HLA-DRB1w0-0-26-0-30-0-26-0-9-0-13-0-0	9	5
DRB1	HLA-DRB1w0-0-30-0-34-0-27-0-8-0-15-0-0	39	31
DRB1	HLA-DRB1w0-0-31-0-36-0-28-0-8-0-15-0-0	32	27
DRB1	HLA-DRB1w0-0-39-0-46-0-33-0-13-0-20-0-0	17	11
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	77	25
DRB1	HLA-DRB1w0-0-7-0-10-0-17-0-1-0-2-0-0	13	7
DRB1	HLA-DRB1w0-0-8-0-11-0-16-0-1-0-1-0-0	8	7
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	72	81
DRB1	HLA-DRB1w0-0-91-0-943-0-19-0-3-0-6-0-0	26	12
DRB1	binned	46	29
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	72	80
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	40	32
DQB1	HLA-DQB1w0-0-12-0-17-0-12-0-12-0-11-0-0	31	27
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	76	28
DQB1	HLA-DQB1w0-0-22-0-34-0-18-0-15-0-14-0-0	22	7
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	163	82
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	86	39
DQB1	HLA-DQB1w0-0-6-0-7-0-6-0-6-0-5-0-0	30	11
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	103	44
DQB1	HLA-DQB1w0-0-7-0-13-0-9-0-7-0-8-0-0	19	12
DQB1	HLA-DQB1w0-0-8-0-12-0-8-0-9-0-7-0-0	17	8
DQB1	binned	15	6
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	25	15
DPB1	HLA-DPB1w0-0-16-0-1861-0-805-0-4-0-0	29	25
DPB1	HLA-DPB1w0-0-29-0-1895-0-809-0-12-0-0	15	5
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	102	43
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	84	53
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	262	150
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	95	48
DPB1	HLA-DPB1w0-0-60-0-1902-0-3-0-3-0-0	14	1
DPB1	HLA-DPB1w0-0-62-0-1906-0-3-0-3-0-0	10	7
DPB1	HLA-DPB1w0-0-65-0-1910-0-2-0-1-0-0	10	7
DPB1	binned	28	20
