Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	1.58	1.18	2.11	0.0012312	*
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-3-0-1-0	1.01	0.67	1.51	0.96225	NS
A	HLA-Aw0-5-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0.59	0.43	0.82	0.00082627	*
A	HLA-Aw0-6-0-0-0-0-0-16-0-6-0-2-0-1-0-1-0	2.04	0.69	6.13	0.13745	NS
A	HLA-Aw0-6-0-0-0-0-0-16-0-7-0-2-0-1-0-1-0	1.5	0.98	2.28	0.048146	*
A	HLA-Aw0-7-0-0-0-0-0-21-0-8-0-2-0-2-0-1-0	0.93	0.53	1.59	0.78312	NS
A	HLA-Aw0-7-0-0-0-0-0-30-0-3-0-2-0-1-0-1-0	0.93	0.44	1.86	0.82074	NS
A	HLA-Aw0-8-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	0.78	0.38	1.52	0.43683	NS
A	HLA-Aw0-8-0-0-0-0-0-10-0-9-0-2-0-2-0-1-0	0.55	0.22	1.2	0.11228	NS
A	HLA-Aw0-8-0-0-0-0-0-23-0-9-0-2-0-2-0-1-0	0.63	0.27	1.36	0.21373	NS
A	binned	1.05	0.35	2.91	0.92452	NS
C	HLA-Cw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	0.82	0.36	1.75	0.58243	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-3-0-1-0-1-0-1-0	1.02	0.71	1.44	0.9155	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-4-0-1-0-1-0-1-0	0.9	0.6	1.34	0.60462	NS
C	HLA-Cw0-1-0-0-0-0-0-24-0-10-0-1-0-1-0-1-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-4-0-0-0-0-0-3-0-2-0-1-0-1-0-1-0	0.73	0.36	1.42	0.32578	NS
C	HLA-Cw0-4-0-0-0-0-0-4-0-3-0-1-0-1-0-1-0	0.95	0.37	2.27	0.89767	NS
C	HLA-Cw0-5-0-0-0-0-0-6-0-1-0-1-0-1-0-1-0	0.73	0.48	1.09	0.10864	NS
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-1-0	1.07	0.71	1.61	0.73631	NS
C	HLA-Cw0-7-0-0-0-0-0-15-0-7-0-1-0-3-0-1-0	1.42	1.06	1.89	0.014864	*
C	HLA-Cw0-9-0-0-0-0-0-25-0-11-0-1-0-1-0-1-0	3.36	1.13	11.13	0.012231	*
C	binned	0.7	0.31	1.46	0.31276	NS
B	HLA-Bw0-1-0-0-0-0-0-1-0-1-0-1-0-0-0	1.03	0.58	1.77	0.92273	NS
