Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	1.48	1.13	1.92	0.0029287	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.65	0.48	0.87	0.0030299	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.83	0.41	1.61	0.56881	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	2.04	0.69	6.13	0.13745	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.5	0.98	2.28	0.048146	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.93	0.53	1.59	0.78312	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.53	0.3	0.89	0.011999	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	69.83	0.45491	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.73	0.51	1.04	0.073946	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	0.5	0.2	1.14	0.083574	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	3.36	1.13	11.13	0.012231	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.74	0.37	1.4	0.32857	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.95	0.69	1.31	0.7703	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.89	0.6	1.32	0.55882	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	1.1	0.72	1.65	0.64231	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.42	1.06	1.89	0.014864	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	0.6	0.38	0.93	0.018367	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	1.05	0.49	2.14	0.89243	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	1.18	0.89	1.57	0.2289	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	0.78	0.34	1.67	0.50344	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	0.72	0.43	1.18	0.17488	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	1.17	0.9	1.52	0.2223	NS
B	binned	1.5	0.36	5.94	0.50239	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.05	Inf	0.18041	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.63	0.47	0.84	0.0013447	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	1.94	1.49	2.54	3.9763e-07	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.58	0.38	0.88	0.007446	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.68	0.29	1.48	0.30639	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	1.43	1.06	1.93	0.014378	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.85	0.62	1.15	0.27817	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.69	0.49	0.98	0.033718	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.78	0.55	1.09	0.12651	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	0.9	0.2	3.37	0.8572	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	1.62	1.1	2.37	0.0096493	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	1.54	0.85	2.75	0.12034	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.73	0.46	1.15	0.14528	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	0.85	0.36	1.92	0.68582	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	3.03	0.59	19.6	0.11204	NS
