Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.35608	0.44947
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.32641	0.23936
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.04748	0.03989
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.01187	0.02394
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.08902	0.12766
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.06825	0.06383
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.10089	0.05585
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00148	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.18991	0.14628
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	0.04154	0.02128
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	0.0089	0.02926
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.05341	0.03989
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.21513	0.20745
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.13501	0.12234
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.11276	0.12234
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.24184	0.31117
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	0.13056	0.08245
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	0.03561	0.03723
B	HLA-Bw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0	0	0.00266
B	HLA-Bw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	0.00445	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	0.28635	0.32181
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	0.03709	0.02926
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	0.09347	0.06915
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	0.40801	0.44681
B	HLA-Bw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0	0.00445	0.00798
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00266
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.33976	0.24468
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.46736	0.63032
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.1543	0.09574
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.03858	0.0266
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.21958	0.28723
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.24777	0.21809
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.20475	0.1516
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.2092	0.17021
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	0.01187	0.01064
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	0.10682	0.16223
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	0.04451	0.06649
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.91988	0.8883
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	0.03116	0.0266
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	0.00445	0.0133
