Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	240	169
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	220	90
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	32	15
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	8	9
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	60	48
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	46	24
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	68	21
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	128	55
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	28	8
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	6	11
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	36	15
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	145	78
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	91	46
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	76	46
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	163	117
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	88	31
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	24	14
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	193	121
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	25	11
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	63	26
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	275	168
B	binned	6	5
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	229	92
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	315	237
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	104	36
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	26	10
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	148	108
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	167	82
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	138	57
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	141	64
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	8	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	72	61
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	30	25
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	620	334
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	21	10
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	3	5
