Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	2	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	1	1
A	HLA-Aw24-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1	0
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	1
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	1	0
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	3	2
C	HLA-Cw239-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	1	0
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	2	0
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	9	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-28	3	3
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-103	3	0
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-190	1	0
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-166	1	0
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-39	9	4
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-117	9	2
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-124	1	1
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-16	3	5
B	HLA-Bw648-0-0-0-0-0-0-0-0-0-0-0-0-0-111	1	0
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-242	6	2
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-28	4	5
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-19	3	1
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-50	4	0
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-145	6	7
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-208	0	1
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-211	8	4
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-221	4	2
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-4	3	3
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-65	2	2
B	HLA-Bw658-0-0-0-0-0-0-0-0-0-0-0-0-0-4	1	0
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-243	5	3
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-58	0	1
B	HLA-Bw675-0-0-0-0-0-0-0-0-0-0-0-0-0-50	2	0
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-73	1	0
B	HLA-Bw691-0-0-0-0-0-0-0-0-0-0-0-0-0-82	0	1
B	HLA-Bw806-0-0-0-0-0-0-0-0-0-0-0-0-0-209	1	1
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-14	5	5
B	HLA-Bw823-0-0-0-0-0-0-0-0-0-0-0-0-0-220	1	0
DRB1	HLA-DRB1w10-0-0-0-0-0-0-0-0-0-0-0-10	3	2
DRB1	HLA-DRB1w11-0-0-0-0-0-0-0-0-0-0-0-11	7	6
DRB1	HLA-DRB1w16-0-0-0-0-0-0-0-0-0-0-0-0	8	5
DRB1	HLA-DRB1w24-0-0-0-0-0-0-0-0-0-0-0-19	3	1
DRB1	HLA-DRB1w30-0-0-0-0-0-0-0-0-0-0-0-21	1	0
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-23	4	2
DRB1	HLA-DRB1w6-0-0-0-0-0-0-0-0-0-0-0-6	4	2
DRB1	HLA-DRB1w9-0-0-0-0-0-0-0-0-0-0-0-9	2	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w13-0-0-0-0-0-0-0-0-0-0-0-10	8	4
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-11	1	2
DQB1	HLA-DQB1w38-0-0-0-0-0-0-0-0-0-0-0-3	1	0
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-2	7	1
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-16	6	5
