Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	18	4
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	101	76
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	80	45
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	43	26
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	68	57
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	44	24
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	61	24
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	16	22
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	39	12
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	9	10
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	191	72
A	binned	4	4
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	49	20
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	24	11
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	33	21
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	62	19
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	76	45
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	90	46
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	33	12
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	26	8
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	80	52
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	106	82
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	48	30
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	9	5
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	16	8
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	6	11
C	binned	16	6
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	51	16
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	42	24
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	63	62
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-157	14	2
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-115	25	11
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-119	25	13
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	42	26
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	46	24
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-140	23	11
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-156	16	13
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	52	21
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-186	31	8
