Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	1	0
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	1	0
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	4	10
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	4	14
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	1	1
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	4	8
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	0	4
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	1	1
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	1
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	2	9
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	2	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	7	9
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-113	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	1	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-117	2	5
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0	7
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-124	0	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-140	7	9
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-145	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-147	2	8
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-156	0	9
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-157	2	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-158	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-16	2	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-186	4	14
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-192	3	10
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-211	0	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-220	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-221	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-242	5	9
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-243	0	4
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-246	5	9
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-26	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-28	0	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-39	0	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-50	1	1
