Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	80	213
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	24	71
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	10	25
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	18	52
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	11	30
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	11	27
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	4	17
A	binned	6	11
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	25
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	8	30
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	13	20
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	6	18
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	15	30
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	14	39
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	7	36
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	23	64
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	54	141
C	binned	15	43
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	15	40
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-120	7	20
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-132	8	39
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-184	15	25
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-194	6	21
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-219	4	16
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-30	9	17
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-91	52	141
B	binned	48	127
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	10	22
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-1	9	12
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-13	8	17
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-16	9	16
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-18	86	253
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-4	8	40
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-5	11	15
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-7	13	34
DRB1	binned	10	37
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-1	18	65
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-11	79	242
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-12	13	22
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-3	22	43
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-4	11	28
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-9	13	18
DQB1	binned	8	28
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-1	131	331
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-2	24	75
DPB1	binned	9	40
