Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0.47	2.28	0.99332	NS
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.9	0.42	2.05	0.76717	NS
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.21	0.2312	NS
A	binned	1.33	0.55	3.72	0.51137	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.45	2.55	0.95525	NS
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.72	0.36	1.48	0.31072	NS
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.53	2.11	0.93561	NS
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.67	0.96	3.02	0.059245	NS
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.66	1.4	0.82837	NS
C	binned	0.97	0.46	2.2	0.92772	NS
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.65	1.44	0.83965	NS
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.55	1.95	0.95092	NS
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.22	0.71	2.18	0.44879	NS
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.58	1.91	0.91943	NS
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2.26	0.65	12.11	0.18507	NS
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.49	0.47	6.21	0.48008	NS
B	binned	0.78	0.42	1.49	0.40122	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-0	0.61	0.26	1.53	0.2236	NS
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-0	1.36	0.74	2.61	0.3076	NS
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-0	0.52	0.24	1.17	0.071715	NS
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	binned	0.86	0.49	1.56	0.58622	NS
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-0	0.55	0.24	1.33	0.12973	NS
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-0	1.14	0.78	1.65	0.49173	NS
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.38	1.22	0.15316	NS
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	binned	1.02	0.51	2.16	0.95344	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-0	1.1	0.62	2.02	0.74617	NS
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-0	0.96	0.57	1.6	0.87866	NS
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-0	1.04	0.38	3.29	0.92986	NS
