Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	4	10
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	10
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	5
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw243-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	9
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	5
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	4	8
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	4
C	HLA-Cw434-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	7	9
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	3
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	12
B	HLA-Bw643-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw683-0-0-0-0-0-0-0-0-0-0-0-0-0-0	5	9
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	2
B	HLA-Bw811-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw823-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w10-0-0-0-0-0-0-0-0-0-0-0-0	0	2
DRB1	HLA-DRB1w11-0-0-0-0-0-0-0-0-0-0-0-0	1	1
DRB1	HLA-DRB1w13-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w14-0-0-0-0-0-0-0-0-0-0-0-0	7	3
DRB1	HLA-DRB1w16-0-0-0-0-0-0-0-0-0-0-0-0	0	3
DRB1	HLA-DRB1w17-0-0-0-0-0-0-0-0-0-0-0-0	7	9
DRB1	HLA-DRB1w19-0-0-0-0-0-0-0-0-0-0-0-0	2	7
DRB1	HLA-DRB1w2-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w23-0-0-0-0-0-0-0-0-0-0-0-0	1	7
DRB1	HLA-DRB1w24-0-0-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w26-0-0-0-0-0-0-0-0-0-0-0-0	1	12
DRB1	HLA-DRB1w6-0-0-0-0-0-0-0-0-0-0-0-0	1	2
DRB1	HLA-DRB1w9-0-0-0-0-0-0-0-0-0-0-0-0	0	2
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w11-0-0-0-0-0-0-0-0-0-0-0-0	6	9
DQB1	HLA-DQB1w13-0-0-0-0-0-0-0-0-0-0-0-0	1	5
DQB1	HLA-DQB1w16-0-0-0-0-0-0-0-0-0-0-0-0	3	6
DQB1	HLA-DQB1w26-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w7-0-0-0-0-0-0-0-0-0-0-0-0	3	14
DPB1	Nothing.binned	NA	NA
