Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-13-0-9-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-20-0-33-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-20-0-657-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-30-0-46-0-0-0-0-0-0-0-0-0-0-0	4	7
A	HLA-Aw0-0-0-30-0-49-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-41-0-56-0-0-0-0-0-0-0-0-0-0-0	3	7
A	HLA-Aw0-0-0-41-0-97-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-45-0-64-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-45-0-65-0-0-0-0-0-0-0-0-0-0-0	6	10
A	HLA-Aw0-0-0-47-0-69-0-0-0-0-0-0-0-0-0-0-0	1	4
A	HLA-Aw0-0-0-49-0-70-0-0-0-0-0-0-0-0-0-0-0	0	5
A	HLA-Aw0-0-0-49-0-71-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-52-0-72-0-0-0-0-0-0-0-0-0-0-0	4	13
A	HLA-Aw0-0-0-59-0-72-0-0-0-0-0-0-0-0-0-0-0	0	3
A	HLA-Aw0-0-0-59-0-75-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-61-0-56-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-65-0-81-0-0-0-0-0-0-0-0-0-0-0	4	10
A	HLA-Aw0-0-0-65-0-9-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-67-0-82-0-0-0-0-0-0-0-0-0-0-0	0	5
A	HLA-Aw0-0-0-8-0-10-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-9-0-10-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-1-0-1-0-0-0-0-0-0-0-0-0-0-0	2	9
C	HLA-Cw0-0-0-101-0-139-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-103-0-144-0-0-0-0-0-0-0-0-0-0-0	0	4
C	HLA-Cw0-0-0-12-0-104-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-12-0-64-0-0-0-0-0-0-0-0-0-0-0	2	12
C	HLA-Cw0-0-0-23-0-50-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-53-0-157-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-55-0-93-0-0-0-0-0-0-0-0-0-0-0	2	5
C	HLA-Cw0-0-0-78-0-139-0-0-0-0-0-0-0-0-0-0-0	3	13
C	HLA-Cw0-0-0-79-0-10-0-0-0-0-0-0-0-0-0-0-0	0	3
C	HLA-Cw0-0-0-820-0-85-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-91-0-129-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-94-0-135-0-0-0-0-0-0-0-0-0-0-0	3	9
C	HLA-Cw0-0-0-94-0-136-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-94-0-154-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-1-0-3-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-1-0-362-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-109-0-130-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-114-0-128-0-0-0-0-0-0-0-0-0	0	3
