Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.15	0.79	1.68	0.44059	NS
A	HLA-Aw0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.21	0.2312	NS
A	HLA-Aw0-6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.97	0.52	1.87	0.92028	NS
A	HLA-Aw0-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.09	0.57	2.17	0.78992	NS
C	HLA-Cw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.49	0.97	2.35	0.060926	NS
C	HLA-Cw0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.81	0.39	1.74	0.53783	NS
C	HLA-Cw0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.66	0.41	1.08	0.074826	NS
C	HLA-Cw0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.97	0.67	1.42	0.88892	NS
C	binned	1.85	0.2	87.91	0.57047	NS
B	HLA-Bw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.71	1.51	0.85314	NS
B	HLA-Bw0-10-0-0-0-0-0-0-0-0-0-0-0-0-0	2.26	0.65	12.11	0.18507	NS
B	HLA-Bw0-12-0-0-0-0-0-0-0-0-0-0-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-3-0-0-0-0-0-0-0-0-0-0-0-0-0	0.69	0.39	1.25	0.18052	NS
B	HLA-Bw0-4-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
B	HLA-Bw0-6-0-0-0-0-0-0-0-0-0-0-0-0-0	1.22	0.71	2.18	0.44879	NS
B	HLA-Bw0-8-0-0-0-0-0-0-0-0-0-0-0-0-0	1.03	0.58	1.91	0.91943	NS
B	binned	0.53	0.24	1.24	0.096604	NS
DRB1	HLA-DRB1w0-1-0-0-0-0-0-0-0-0-0-0-0	0.75	0.35	1.69	0.43231	NS
DRB1	HLA-DRB1w0-3-0-0-0-0-0-0-0-0-0-0-0	0.92	0.59	1.45	0.69217	NS
DRB1	HLA-DRB1w0-5-0-0-0-0-0-0-0-0-0-0-0	0.79	0.41	1.57	0.45022	NS
DRB1	HLA-DRB1w0-6-0-0-0-0-0-0-0-0-0-0-0	1.02	0.51	2.16	0.95344	NS
DRB1	HLA-DRB1w0-9-0-0-0-0-0-0-0-0-0-0-0	1.22	0.84	1.78	0.27379	NS
DQB1	HLA-DQB1w0-1-0-0-0-0-0-0-0-0-0-0-0	1.38	0.78	2.57	0.25045	NS
DQB1	HLA-DQB1w0-2-0-0-0-0-0-0-0-0-0-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-3-0-0-0-0-0-0-0-0-0-0-0	1.11	0.58	2.27	0.73846	NS
DQB1	HLA-DQB1w0-5-0-0-0-0-0-0-0-0-0-0-0	0.56	0.28	1.12	0.067976	NS
DQB1	HLA-DQB1w0-6-0-0-0-0-0-0-0-0-0-0-0	1.85	0.2	87.91	0.57047	NS
DQB1	HLA-DQB1w0-9-0-0-0-0-0-0-0-0-0-0-0	1.14	0.78	1.65	0.49173	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
DPB1	HLA-DPB1w0-1-0-0-0-0-0-0-0-0-0	Inf	0.07	Inf	0.098851	NS
