Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0	0	3
A	HLA-Aw0-0-0-0-0-33-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-0-0-46-0-0-0-0-0-0-0-0-0-0-0	4	7
A	HLA-Aw0-0-0-0-0-49-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-0-0-64-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-0-0-65-0-0-0-0-0-0-0-0-0-0-0	6	10
A	HLA-Aw0-0-0-0-0-657-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-0-0-69-0-0-0-0-0-0-0-0-0-0-0	1	4
A	HLA-Aw0-0-0-0-0-70-0-0-0-0-0-0-0-0-0-0-0	0	5
A	HLA-Aw0-0-0-0-0-71-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-0-0-75-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-0-0-81-0-0-0-0-0-0-0-0-0-0-0	4	10
A	HLA-Aw0-0-0-0-0-82-0-0-0-0-0-0-0-0-0-0-0	0	5
A	HLA-Aw0-0-0-0-0-97-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-1-0-0-0-0-0-0-0-0-0-0-0	2	9
C	HLA-Cw0-0-0-0-0-10-0-0-0-0-0-0-0-0-0-0-0	0	3
C	HLA-Cw0-0-0-0-0-104-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-0-0-129-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-0-0-135-0-0-0-0-0-0-0-0-0-0-0	3	9
C	HLA-Cw0-0-0-0-0-136-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-0-0-139-0-0-0-0-0-0-0-0-0-0-0	4	14
C	HLA-Cw0-0-0-0-0-144-0-0-0-0-0-0-0-0-0-0-0	0	4
C	HLA-Cw0-0-0-0-0-154-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-157-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-0-0-93-0-0-0-0-0-0-0-0-0-0-0	2	5
B	HLA-Bw0-0-0-0-0-101-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-107-0-0-0-0-0-0-0-0-0	4	14
B	HLA-Bw0-0-0-0-0-1097-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-112-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-115-0-0-0-0-0-0-0-0-0	0	4
B	HLA-Bw0-0-0-0-0-125-0-0-0-0-0-0-0-0-0	3	10
B	HLA-Bw0-0-0-0-0-130-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-0-0-141-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-145-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-170-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-18-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-19-0-0-0-0-0-0-0-0-0	1	3
B	HLA-Bw0-0-0-0-0-229-0-0-0-0-0-0-0-0-0	1	2
B	HLA-Bw0-0-0-0-0-24-0-0-0-0-0-0-0-0-0	2	12
B	HLA-Bw0-0-0-0-0-29-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-3-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-309-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-33-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-0-0-362-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-38-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-46-0-0-0-0-0-0-0-0-0	5	9
B	HLA-Bw0-0-0-0-0-54-0-0-0-0-0-0-0-0-0	7	10
B	HLA-Bw0-0-0-0-0-57-0-0-0-0-0-0-0-0-0	5	9
B	HLA-Bw0-0-0-0-0-66-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-68-0-0-0-0-0-0-0-0-0	2	8
B	HLA-Bw0-0-0-0-0-77-0-0-0-0-0-0-0-0-0	0	9
B	HLA-Bw0-0-0-0-0-81-0-0-0-0-0-0-0-0-0	2	8
B	HLA-Bw0-0-0-0-0-88-0-0-0-0-0-0-0-0-0	6	8
B	HLA-Bw0-0-0-0-0-91-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-0-1-0-0-0-0-0-0-0	1	1
DRB1	HLA-DRB1w0-0-0-0-0-3-0-0-0-0-0-0-0	5	3
DRB1	HLA-DRB1w0-0-0-0-0-46-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-0-0-0-0-109-0-0-0-0-0-0-0	1	5
DQB1	HLA-DQB1w0-0-0-0-0-121-0-0-0-0-0-0-0	2	8
DQB1	HLA-DQB1w0-0-0-0-0-76-0-0-0-0-0-0-0	4	9
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-8-0-0-0-0-0	0	2
