Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	1.15	0.73	1.83	0.5287	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.86	0.59	1.26	0.41279	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	1.01	0.61	1.7	0.9698	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	1.03	0.71	1.49	0.88892	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.97	0.67	1.42	0.88892	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	0.72	0.48	1.07	0.089521	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	1.43	0.96	2.15	0.066014	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	1.06	0.66	1.69	0.78411	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	0.93	0.59	1.52	0.76809	NS
DRB1	binned	1.1	0.09	58.28	0.932	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.01	Inf	0.54392	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	1.03	0.7	1.54	0.86994	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	0.96	0.64	1.42	0.82936	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	14.34	0.098851	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	Inf	0.07	Inf	0.098851	NS
