Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.21341	0.23767
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.21341	0.22422
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.40854	0.3722
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	0.16463	0.16592
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.51829	0.52466
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	0.48171	0.47534
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.0061	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	0.68902	0.61435
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	0.30488	0.38565
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.79268	0.80269
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	0.20122	0.19058
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-3-0-1-0	0	0.00448
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-4-0-1-0	0.0061	0.00224
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00224
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.32927	0.33632
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	0.67073	0.66143
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0.0061	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	0.9939	1
