Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	35	106
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	35	100
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	67	166
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	27	74
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	85	234
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	79	212
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	113	274
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	50	172
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	130	358
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	33	85
DRB1	binned	1	3
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	54	150
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	110	295
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	163	446
