Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-0-0	7	10
A	HLA-Aw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	10
C	HLA-Cw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2	9
C	HLA-Cw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0	6	11
B	HLA-Bw0-0-14-0-0-0-0-0-0-0-0-0-0-0-0	5	10
B	HLA-Bw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0	3	15
B	HLA-Bw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0	2	3
B	HLA-Bw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0	2	12
B	HLA-Bw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0	1	2
DRB1	HLA-DRB1w0-0-108-0-0-0-0-0-0-0-0-0-0	2	0
DRB1	HLA-DRB1w0-0-13-0-0-0-0-0-0-0-0-0-0	1	2
DRB1	HLA-DRB1w0-0-14-0-0-0-0-0-0-0-0-0-0	2	4
DRB1	HLA-DRB1w0-0-18-0-0-0-0-0-0-0-0-0-0	0	2
DRB1	HLA-DRB1w0-0-20-0-0-0-0-0-0-0-0-0-0	1	1
DRB1	HLA-DRB1w0-0-26-0-0-0-0-0-0-0-0-0-0	5	3
DRB1	HLA-DRB1w0-0-30-0-0-0-0-0-0-0-0-0-0	7	9
DRB1	HLA-DRB1w0-0-31-0-0-0-0-0-0-0-0-0-0	2	7
DRB1	HLA-DRB1w0-0-36-0-0-0-0-0-0-0-0-0-0	0	3
DRB1	HLA-DRB1w0-0-39-0-0-0-0-0-0-0-0-0-0	2	7
DRB1	HLA-DRB1w0-0-7-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-8-0-0-0-0-0-0-0-0-0-0	1	5
DRB1	HLA-DRB1w0-0-91-0-0-0-0-0-0-0-0-0-0	1	11
DRB1	HLA-DRB1w0-0-92-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-99-0-0-0-0-0-0-0-0-0-0	0	2
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-12-0-0-0-0-0-0-0-0-0-0	2	8
DQB1	HLA-DQB1w0-0-22-0-0-0-0-0-0-0-0-0-0	3	6
DQB1	HLA-DQB1w0-0-6-0-0-0-0-0-0-0-0-0-0	3	14
DQB1	HLA-DQB1w0-0-8-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-9-0-0-0-0-0-0-0-0-0-0	1	5
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-16-0-0-0-0-0-0-0-0	2	11
DPB1	HLA-DPB1w0-0-29-0-0-0-0-0-0-0-0	2	12
DPB1	HLA-DPB1w0-0-56-0-0-0-0-0-0-0-0	0	2
DPB1	HLA-DPB1w0-0-60-0-0-0-0-0-0-0-0	2	6
DPB1	HLA-DPB1w0-0-62-0-0-0-0-0-0-0-0	1	5
DPB1	HLA-DPB1w0-0-64-0-0-0-0-0-0-0-0	0	2
DPB1	HLA-DPB1w0-0-65-0-0-0-0-0-0-0-0	1	2
DPB1	HLA-DPB1w0-0-68-0-0-0-0-0-0-0-0	1	3
DPB1	HLA-DPB1w0-0-69-0-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-7-0-0-0-0-0-0-0-0	0	1
