Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	Inf	0.34	Inf	0.17335	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	0.81	0.53	1.23	0.28533	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	1.01	0.61	1.7	0.9698	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	1.09	0.7	1.74	0.67934	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	1.07	0.59	2.01	0.81432	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	0.89	0.58	1.39	0.58192	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	1.73	0.94	3.36	0.068183	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	1.02	0.61	1.75	0.94512	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	0.95	0.64	1.42	0.79858	NS
C	binned	1.85	0.2	87.91	0.57047	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
