Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	1.1	0.66	1.91	0.69795	NS
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	0.91	0.41	2.19	0.81674	NS
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.91	0.44	2.01	0.7984	NS
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.75	0.49	1.16	0.16718	NS
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	1.07	0.59	2.01	0.81432	NS
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	1.07	0.68	1.7	0.77572	NS
A	binned	1.08	0.55	2.28	0.81442	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.43	2.45	0.95883	NS
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	1.03	0.6	1.8	0.91884	NS
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	0.94	0.63	1.41	0.75794	NS
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	1.41	0.61	3.63	0.40234	NS
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	0.72	0.36	1.48	0.31072	NS
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	0.78	0.37	1.75	0.50036	NS
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	1.97	0.84	5.35	0.10372	NS
C	binned	1.27	0.7	2.4	0.41807	NS
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.98	0.66	1.47	0.91054	NS
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	0.75	0.36	1.62	0.40735	NS
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	1.63	0.64	4.93	0.28628	NS
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	1.49	0.47	6.21	0.48008	NS
B	HLA-Bw0-0-2-0-3-0-2-0-1-0-2-0-2-0-0	0.98	0.51	1.97	0.94583	NS
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	1.16	0.47	3.29	0.73241	NS
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	1.87	0.84	4.73	0.11237	NS
B	binned	0.89	0.57	1.4	0.57755	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	1.18	0.41	4.2	0.7463	NS
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	0.48	0.2	1.19	0.06987	NS
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	0.79	0.27	2.58	0.6392	NS
DRB1	HLA-DRB1w0-0-34-0-40-0-31-0-11-0-17-0-0	1.19	0.82	1.73	0.34473	NS
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	0.48	0.18	1.31	0.092954	NS
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	1.92	0.86	4.86	0.096193	NS
DRB1	binned	0.87	0.52	1.5	0.59192	NS
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-0-10-0-15-0-11-0-11-0-10-0-0	1.28	0.88	1.86	0.18173	NS
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	0.45	0.19	1.12	0.048733	*
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	1.01	0.42	2.68	0.97791	NS
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	0.55	0.24	1.33	0.12973	NS
DQB1	binned	1.06	0.56	2.12	0.85342	NS
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	0.92	0.33	2.94	0.85922	NS
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	1.19	0.65	2.27	0.55202	NS
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	1.38	0.75	2.66	0.27594	NS
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	0.79	0.54	1.15	0.20264	NS
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	0.9	0.48	1.74	0.72521	NS
DPB1	binned	1.25	0.67	2.48	0.46377	NS
