Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	4	10
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	0	5
A	HLA-Aw0-0-10-0-4-0-2-0-2-0-2-0-1-0-2-0-0	1	0
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	7	10
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	1	4
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-16-0-1-0-5-0-0	0	1
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	0	5
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	0	3
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	2	9
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	2	5
C	HLA-Cw0-0-13-0-11-0-14-0-7-0-8-0-7-0-7-0-0	0	1
C	HLA-Cw0-0-17-0-9-0-18-0-1-0-13-0-1-0-9-0-0	1	1
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	4	14
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	0	4
C	HLA-Cw0-0-3-0-2-0-19-0-2-0-4-0-12-0-1-0-0	1	1
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	4	9
C	HLA-Cw0-0-5-0-8-0-10-0-1-0-1-0-1-0-1-0-0	1	0
C	HLA-Cw0-0-8-0-14-0-11-0-2-0-2-0-1-0-1-0-0	0	1
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	2	12
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-1-0-24-0-1-0-1-0-1-0-1-0-0	1	1
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	6	8
B	HLA-Bw0-0-13-0-29-0-2-0-1-0-2-0-2-0-0	0	1
B	HLA-Bw0-0-13-0-3-0-2-0-1-0-2-0-2-0-0	0	2
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	5	9
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-24-0-1-0-0	0	1
B	HLA-Bw0-0-15-0-32-0-21-0-3-0-20-0-10-0-0	0	4
B	HLA-Bw0-0-15-0-32-0-24-0-3-0-20-0-10-0-0	2	5
B	HLA-Bw0-0-15-0-32-0-25-0-3-0-20-0-10-0-0	1	6
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-26-0-1-0-0	0	1
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-16-0-4-0-0	0	3
B	HLA-Bw0-0-2-0-24-0-15-0-1-0-5-0-4-0-0	2	5
B	HLA-Bw0-0-2-0-35-0-15-0-1-0-5-0-4-0-0	1	2
B	HLA-Bw0-0-3-0-5-0-4-0-2-0-4-0-1-0-0	2	3
B	HLA-Bw0-0-4-0-6-0-5-0-1-0-5-0-4-0-0	2	5
B	HLA-Bw0-0-4-0-7-0-5-0-1-0-5-0-4-0-0	0	7
B	HLA-Bw0-0-5-0-18-0-11-0-7-0-12-0-1-0-0	0	9
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-13-0-6-0-0	7	10
B	HLA-Bw0-0-5-0-19-0-9-0-6-0-14-0-6-0-0	5	10
B	HLA-Bw0-0-7-0-8-0-6-0-3-0-66-0-1-0-0	1	0
B	HLA-Bw0-0-8-0-11-0-6-0-3-0-9-0-1-0-0	0	1
B	HLA-Bw0-0-8-0-13-0-6-0-3-0-7-0-1-0-0	1	1
B	HLA-Bw0-0-9-0-18-0-12-0-2-0-12-0-1-0-0	1	0
DRB1	HLA-DRB1w0-0-108-0-962-0-30-0-8-0-16-0-0	2	0
DRB1	HLA-DRB1w0-0-13-0-16-0-20-0-3-0-6-0-0	1	2
DRB1	HLA-DRB1w0-0-14-0-17-0-20-0-3-0-4-0-0	2	4
DRB1	HLA-DRB1w0-0-18-0-20-0-22-0-5-0-10-0-0	0	2
DRB1	HLA-DRB1w0-0-20-0-22-0-24-0-7-0-12-0-0	1	1
DRB1	HLA-DRB1w0-0-22-0-28-0-25-0-8-0-3-0-0	0	1
DRB1	HLA-DRB1w0-0-22-0-29-0-25-0-8-0-3-0-0	2	4
DRB1	HLA-DRB1w0-0-26-0-30-0-26-0-9-0-13-0-0	5	3
DRB1	HLA-DRB1w0-0-30-0-34-0-27-0-8-0-15-0-0	7	9
DRB1	HLA-DRB1w0-0-31-0-36-0-28-0-8-0-15-0-0	2	7
DRB1	HLA-DRB1w0-0-36-0-43-0-32-0-11-0-18-0-0	0	3
DRB1	HLA-DRB1w0-0-39-0-46-0-33-0-13-0-20-0-0	1	7
DRB1	HLA-DRB1w0-0-39-0-47-0-33-0-13-0-21-0-0	1	0
DRB1	HLA-DRB1w0-0-7-0-10-0-17-0-1-0-2-0-0	0	1
DRB1	HLA-DRB1w0-0-8-0-11-0-16-0-1-0-1-0-0	1	5
DRB1	HLA-DRB1w0-0-91-0-943-0-19-0-3-0-6-0-0	1	11
DRB1	HLA-DRB1w0-0-92-0-944-0-20-0-3-0-6-0-0	0	1
DRB1	HLA-DRB1w0-0-99-0-951-0-23-0-6-0-11-0-0	0	2
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-12-0-17-0-12-0-12-0-11-0-0	2	8
DQB1	HLA-DQB1w0-0-22-0-34-0-18-0-15-0-14-0-0	3	6
DQB1	HLA-DQB1w0-0-6-0-7-0-6-0-6-0-5-0-0	3	14
DQB1	HLA-DQB1w0-0-7-0-13-0-9-0-7-0-8-0-0	4	8
DQB1	HLA-DQB1w0-0-8-0-12-0-8-0-9-0-7-0-0	2	1
DQB1	HLA-DQB1w0-0-9-0-14-0-10-0-10-0-9-0-0	1	5
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
