Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.14634	0.15919
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	0.06098	0.05605
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	0.02439	0.02242
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	0	0.01121
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.07317	0.06726
A	HLA-Aw0-0-10-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.0061	0
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	0.04268	0.02242
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	0.02439	0.03812
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	0.02439	0.03812
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	0.0061	0.00897
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-16-0-1-0-5-0-0	0	0.00224
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	0	0.01121
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.26829	0.21525
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	0	0.00673
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	0.10976	0.11659
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	0.21341	0.22422
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.05488	0.05381
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.0122	0.02018
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	0.14024	0.1435
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	0.0122	0.01121
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	0.32927	0.31614
