Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	24	71
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	10	25
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	12	30
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	4	17
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	4	17
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	44	96
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	18	52
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	35	100
A	binned	13	38
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	24
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	23	64
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	54	141
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	8	30
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	19	38
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	15	30
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	12	26
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	7	36
C	binned	17	57
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	53	142
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	20	40
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	13	27
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	6	26
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	4	16
B	HLA-Bw0-0-2-0-3-0-2-0-1-0-2-0-2-0-0	15	40
B	HLA-Bw0-0-5-0-8-0-6-0-3-0-7-0-1-0-0	7	22
B	HLA-Bw0-0-9-0-18-0-11-0-2-0-11-0-1-0-0	8	39
B	binned	38	94
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	5	16
DRB1	HLA-DRB1w0-0-11-0-14-0-19-0-3-0-4-0-0	11	15
DRB1	HLA-DRB1w0-0-15-0-18-0-21-0-4-0-7-0-0	13	34
DRB1	HLA-DRB1w0-0-22-0-24-0-25-0-8-0-3-0-0	6	13
DRB1	HLA-DRB1w0-0-34-0-40-0-31-0-11-0-17-0-0	86	253
DRB1	HLA-DRB1w0-0-6-0-9-0-16-0-1-0-1-0-0	9	12
DRB1	HLA-DRB1w0-0-9-0-12-0-18-0-2-0-3-0-0	8	40
DRB1	binned	26	63
DQB1	HLA-DQB1w0-0-1-0-1-0-1-0-1-0-1-0-0	8	41
DQB1	HLA-DQB1w0-0-10-0-15-0-11-0-11-0-10-0-0	79	242
DQB1	HLA-DQB1w0-0-11-0-16-0-11-0-11-0-10-0-0	11	14
DQB1	HLA-DQB1w0-0-2-0-2-0-2-0-1-0-2-0-0	10	24
DQB1	HLA-DQB1w0-0-3-0-4-0-4-0-3-0-3-0-0	22	43
DQB1	HLA-DQB1w0-0-5-0-6-0-5-0-5-0-4-0-0	8	22
DQB1	HLA-DQB1w0-0-7-0-10-0-7-0-7-0-6-0-0	11	17
DQB1	binned	15	43
DPB1	HLA-DPB1w0-0-10-0-4-0-3-0-2-0-0	6	15
DPB1	HLA-DPB1w0-0-3-0-2-0-2-0-1-0-0	17	54
DPB1	HLA-DPB1w0-0-4-0-4-0-3-0-2-0-0	16	58
DPB1	HLA-DPB1w0-0-5-0-5-0-2-0-1-0-0	93	227
DPB1	HLA-DPB1w0-0-6-0-7-0-2-0-1-0-0	17	42
DPB1	binned	15	50
