Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-1-0-1-0	1.15	0.73	1.83	0.5287	NS
A	HLA-Aw0-1-0-0-0-0-0-1-0-1-0-1-0-3-0-1-0	1.07	0.68	1.7	0.77572	NS
A	HLA-Aw0-5-0-0-0-0-0-4-0-3-0-2-0-1-0-1-0	0.78	0.51	1.21	0.2312	NS
A	HLA-Aw0-6-0-0-0-0-0-16-0-7-0-2-0-1-0-1-0	1.2	0.63	2.44	0.56504	NS
A	HLA-Aw0-7-0-0-0-0-0-21-0-8-0-2-0-2-0-1-0	0.91	0.44	2.01	0.7984	NS
A	HLA-Aw0-7-0-0-0-0-0-30-0-3-0-2-0-1-0-1-0	1.39	0.43	5.84	0.56018	NS
A	HLA-Aw0-8-0-0-0-0-0-10-0-4-0-2-0-2-0-1-0	1.59	0.51	6.57	0.40971	NS
A	HLA-Aw0-8-0-0-0-0-0-23-0-9-0-2-0-2-0-1-0	1.49	0.47	6.21	0.48008	NS
A	binned	0.53	0.24	1.24	0.096604	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-3-0-1-0-1-0-1-0	1.73	0.94	3.36	0.068183	NS
C	HLA-Cw0-1-0-0-0-0-0-2-0-4-0-1-0-1-0-1-0	1.03	0.53	2.11	0.93561	NS
C	HLA-Cw0-4-0-0-0-0-0-3-0-2-0-1-0-1-0-1-0	0.81	0.34	2.06	0.60558	NS
C	HLA-Cw0-5-0-0-0-0-0-6-0-1-0-1-0-1-0-1-0	0.71	0.39	1.35	0.24882	NS
C	HLA-Cw0-5-0-0-0-0-0-9-0-6-0-1-0-1-0-1-0	0.72	0.36	1.48	0.31072	NS
C	HLA-Cw0-7-0-0-0-0-0-15-0-7-0-1-0-3-0-1-0	0.97	0.67	1.42	0.88892	NS
C	binned	1.18	0.6	2.46	0.62552	NS
B	HLA-Bw0-1-0-0-0-0-0-1-0-1-0-1-0-0-0	0.98	0.66	1.47	0.91054	NS
B	HLA-Bw0-1-0-0-0-0-0-3-0-3-0-1-0-0-0	0.98	0.51	1.97	0.94583	NS
B	HLA-Bw0-1-0-0-0-0-0-6-0-5-0-1-0-0-0	1.65	0.6	5.67	0.31585	NS
B	HLA-Bw0-12-0-0-0-0-0-20-0-10-0-1-0-0-0	1.59	0.51	6.57	0.40971	NS
B	HLA-Bw0-3-0-0-0-0-0-17-0-3-0-1-0-0-0	0.71	0.39	1.33	0.23546	NS
B	HLA-Bw0-4-0-0-0-0-0-7-0-6-0-1-0-0-0	0.98	0.43	2.45	0.95883	NS
B	HLA-Bw0-6-0-0-0-0-0-3-0-3-0-1-0-0-0	0.59	0.27	1.37	0.16413	NS
B	HLA-Bw0-6-0-0-0-0-0-7-0-6-0-1-0-0-0	2.08	0.98	4.93	0.047207	*
B	HLA-Bw0-8-0-0-0-0-0-13-0-6-0-1-0-0-0	1.03	0.58	1.91	0.91943	NS
B	binned	0.8	0.43	1.53	0.45372	NS
DRB1	HLA-DRB1w0-1-0-0-0-12-0-1-0-1-0-1-0	0.65	0.28	1.61	0.28068	NS
DRB1	HLA-DRB1w0-3-0-0-0-15-0-2-0-2-0-1-0	1.92	0.86	4.86	0.096193	NS
DRB1	HLA-DRB1w0-3-0-0-0-2-0-2-0-2-0-1-0	0.84	0.46	1.61	0.56658	NS
DRB1	HLA-DRB1w0-5-0-0-0-20-0-1-0-1-0-1-0	0.79	0.41	1.57	0.45022	NS
DRB1	HLA-DRB1w0-6-0-0-0-4-0-4-0-1-0-1-0	0.96	0.48	2.04	0.90082	NS
DRB1	HLA-DRB1w0-9-0-0-0-47-0-2-0-1-0-1-0	1.22	0.84	1.78	0.27379	NS
DRB1	binned	0.57	0.27	1.28	0.1245	NS
DQB1	HLA-DQB1w0-1-0-0-0-1-0-1-0-1-0-1-0	1.97	0.89	4.98	0.082152	NS
DQB1	HLA-DQB1w0-1-0-0-0-3-0-1-0-1-0-1-0	0.88	0.39	2.1	0.73239	NS
DQB1	HLA-DQB1w0-2-0-0-0-12-0-2-0-1-0-1-0	0.69	0.39	1.25	0.18052	NS
DQB1	HLA-DQB1w0-3-0-0-0-22-0-3-0-1-0-1-0	1.11	0.58	2.27	0.73846	NS
DQB1	HLA-DQB1w0-5-0-0-0-73-0-6-0-1-0-2-0	0.49	0.22	1.11	0.052386	NS
DQB1	HLA-DQB1w0-9-0-0-0-116-0-8-0-1-0-2-0	1.11	0.76	1.61	0.5774	NS
DQB1	binned	1.16	0.47	3.29	0.73241	NS
DPB1	HLA-DPB1w0-1-0-0-0-2-0-2-0-1-0	1.23	0.75	2.06	0.39262	NS
DPB1	HLA-DPB1w0-1-0-0-0-3-0-2-0-1-0	0.8	0.53	1.19	0.25399	NS
DPB1	HLA-DPB1w0-1-0-0-0-6-0-2-0-1-0	0.92	0.5	1.78	0.7899	NS
DPB1	binned	1.76	0.7	5.31	0.21118	NS
