Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.42683	0.46188
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.29878	0.25561
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.02439	0.03812
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.02439	0.0157
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.08537	0.1009
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.07317	0.06726
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.06707	0.06054
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.14024	0.10762
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	0.02439	0.03139
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	0	0.00897
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.05488	0.04484
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.12195	0.17713
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.08537	0.08744
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.09146	0.06726
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	0.48171	0.47534
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.0061	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	0.35976	0.33632
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	0.02439	0.03812
B	HLA-Bw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	0.0061	0.00224
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	0.28659	0.23094
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	0.0122	0.00673
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	0.03049	0.04933
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	0.27439	0.33632
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.15854	0.11883
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.7439	0.787
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.07927	0.07623
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.01829	0.01794
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.10976	0.14574
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.13415	0.09641
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.08537	0.09417
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.10366	0.06054
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	0.0061	0.01121
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	0.56098	0.59193
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0.0061	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	0.0122	0.02466
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.96341	0.93722
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	0.01829	0.03363
DPB1	HLA-DPB1w0-0-0-0-0-0-0-5-0-0-0	0	0.00448
