Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	70	206
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	49	114
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	4	17
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	4	7
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	14	45
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	12	30
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	11	27
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	23	48
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	9	20
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	20	79
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	14	39
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	15	30
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	79	212
C	binned	4	18
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	59	150
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	4	17
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	47	103
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	5	22
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	45	150
B	binned	4	4
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	26	53
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	122	351
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	13	34
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	3	8
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	18	65
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	22	43
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	14	42
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	17	27
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	1	5
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	92	264
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	158	418
DPB1	binned	6	28
