Locus	Allele	Group.0	Group.1
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	24	71
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	35	99
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	10	25
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	18	52
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	11	30
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	11	27
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	4	17
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	44	99
A	binned	7	26
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	9	25
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	13	20
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	6	18
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	15	30
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	14	39
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	8	30
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	7	36
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	23	64
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	54	141
C	binned	15	43
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	52	141
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	15	40
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	7	20
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	8	39
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	15	25
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-194	6	21
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-30	9	17
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-219	4	16
B	binned	48	127
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	5	16
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-1	9	12
DRB1	HLA-DRB1w20-0-0-0-0-0-0-0-0-0-0-0-18	86	253
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-13	8	17
DRB1	HLA-DRB1w3-0-0-0-0-0-0-0-0-0-0-0-4	8	40
DRB1	HLA-DRB1w5-0-0-0-0-0-0-0-0-0-0-0-5	11	15
DRB1	HLA-DRB1w7-0-0-0-0-0-0-0-0-0-0-0-7	13	34
DRB1	binned	24	59
DQB1	HLA-DQB1w1-0-0-0-0-0-0-0-0-0-0-0-1	8	41
DQB1	HLA-DQB1w10-0-0-0-0-0-0-0-0-0-0-0-9	11	17
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-11	79	242
DQB1	HLA-DQB1w14-0-0-0-0-0-0-0-0-0-0-0-12	13	22
DQB1	HLA-DQB1w17-0-0-0-0-0-0-0-0-0-0-0-1	10	24
DQB1	HLA-DQB1w4-0-0-0-0-0-0-0-0-0-0-0-3	22	42
DQB1	HLA-DQB1w6-0-0-0-0-0-0-0-0-0-0-0-4	8	22
DQB1	binned	13	36
DPB1	HLA-DPB1w1-0-0-0-0-0-0-0-0-0-1	17	55
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-1	114	276
DPB1	HLA-DPB1w2-0-0-0-0-0-0-0-0-0-2	16	58
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-2	6	16
DPB1	binned	11	41
