Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	2	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	3	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	2	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	4	3
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	1
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	4	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-111	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-113	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-124	1	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-158	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-166	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	3	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-190	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-208	0	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-209	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-220	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-221	5	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-26	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	4	3
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-50	7	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-58	0	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-61	0	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	2	2
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-73	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-82	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-10	3	4
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-19	4	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-21	1	0
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-6	5	4
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-9	2	3
DQB1	Nothing.binned	NA	NA
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-19	0	1
