Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.43	1.17	1.75	0.00035714	*
A	HLA-Aw0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.53	0.85	0.00061622	*
A	HLA-Aw0-6-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.93	0.67	1.29	0.67108	NS
A	HLA-Aw0-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.49	0.92	0.0091174	*
A	binned	Inf	0.42	Inf	0.080048	NS
C	HLA-Cw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.83	0.68	1.02	0.076086	NS
C	HLA-Cw0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.76	0.52	1.13	0.15946	NS
C	HLA-Cw0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.7	0.55	0.9	0.0032879	*
C	HLA-Cw0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.64	1.33	2.03	1.7555e-06	*
C	HLA-Cw0-9-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	2.58	0.94	8.15	0.043275	*
C	binned	0.41	0.04	2.49	0.26666	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.01	80.07	0.98912	NS
B	HLA-Bw0-1-0-0-0-0-0-0-0-0-0-0-0-0-0	1.52	1.23	1.87	5.9943e-05	*
B	HLA-Bw0-10-0-0-0-0-0-0-0-0-0-0-0-0-0	1.51	0.94	2.46	0.072192	NS
B	HLA-Bw0-11-0-0-0-0-0-0-0-0-0-0-0-0-0	0.97	0.48	1.93	0.91944	NS
B	HLA-Bw0-12-0-0-0-0-0-0-0-0-0-0-0-0-0	1.13	0.65	1.98	0.63614	NS
B	HLA-Bw0-3-0-0-0-0-0-0-0-0-0-0-0-0-0	0.57	0.42	0.77	0.00014236	*
B	HLA-Bw0-4-0-0-0-0-0-0-0-0-0-0-0-0-0	1.1	0.74	1.64	0.62219	NS
B	HLA-Bw0-6-0-0-0-0-0-0-0-0-0-0-0-0-0	1.07	0.81	1.42	0.61072	NS
B	HLA-Bw0-8-0-0-0-0-0-0-0-0-0-0-0-0-0	0.83	0.63	1.09	0.16893	NS
B	HLA-Bw0-9-0-0-0-0-0-0-0-0-0-0-0-0-0	0.29	0.15	0.52	8.8961e-06	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.3125	NS
DRB1	HLA-DRB1w0-1-0-0-0-0-0-0-0-0-0-0-0	0.55	0.4	0.76	0.00010776	*
DRB1	HLA-DRB1w0-3-0-0-0-0-0-0-0-0-0-0-0	0.91	0.75	1.11	0.35323	NS
DRB1	HLA-DRB1w0-5-0-0-0-0-0-0-0-0-0-0-0	0.56	0.42	0.76	6.4778e-05	*
DRB1	HLA-DRB1w0-6-0-0-0-0-0-0-0-0-0-0-0	0.59	0.43	0.81	0.00074721	*
DRB1	HLA-DRB1w0-9-0-0-0-0-0-0-0-0-0-0-0	3.68	2.82	4.83	< 2.22e-16	*
DQB1	HLA-DQB1w0-1-0-0-0-0-0-0-0-0-0-0-0	1.08	0.84	1.38	0.53187	NS
DQB1	HLA-DQB1w0-2-0-0-0-0-0-0-0-0-0-0-0	0.62	0.48	0.8	0.00013267	*
DQB1	HLA-DQB1w0-3-0-0-0-0-0-0-0-0-0-0-0	0.62	0.46	0.82	0.00052923	*
DQB1	HLA-DQB1w0-5-0-0-0-0-0-0-0-0-0-0-0	0.54	0.4	0.71	8.97e-06	*
DQB1	HLA-DQB1w0-6-0-0-0-0-0-0-0-0-0-0-0	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w0-9-0-0-0-0-0-0-0-0-0-0-0	2.69	2.14	3.37	< 2.22e-16	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	39.86	0.32242	NS
DPB1	HLA-DPB1w0-1-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.32242	NS
