Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-14-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-0-0-33-0-0-0-0-0-0-0-0-0-0-0	1	3
A	HLA-Aw0-0-0-0-0-49-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-0-64-0-0-0-0-0-0-0-0-0-0-0	5	0
A	HLA-Aw0-0-0-0-0-657-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-0-0-71-0-0-0-0-0-0-0-0-0-0-0	0	4
A	HLA-Aw0-0-0-0-0-94-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-0-97-0-0-0-0-0-0-0-0-0-0-0	3	0
C	HLA-Cw0-0-0-0-0-104-0-0-0-0-0-0-0-0-0-0-0	1	1
C	HLA-Cw0-0-0-0-0-1164-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-136-0-0-0-0-0-0-0-0-0-0-0	4	2
C	HLA-Cw0-0-0-0-0-141-0-0-0-0-0-0-0-0-0-0-0	2	0
C	HLA-Cw0-0-0-0-0-147-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-154-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-155-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-0-0-157-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-0-0-26-0-0-0-0-0-0-0-0-0-0-0	2	1
B	HLA-Bw0-0-0-0-0-101-0-0-0-0-0-0-0-0-0	2	5
B	HLA-Bw0-0-0-0-0-1097-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-111-0-0-0-0-0-0-0-0-0	2	0
B	HLA-Bw0-0-0-0-0-112-0-0-0-0-0-0-0-0-0	5	1
B	HLA-Bw0-0-0-0-0-122-0-0-0-0-0-0-0-0-0	3	3
B	HLA-Bw0-0-0-0-0-123-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-130-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-0-0-141-0-0-0-0-0-0-0-0-0	4	5
B	HLA-Bw0-0-0-0-0-145-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-154-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-157-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-169-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-170-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-0-0-174-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-18-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-216-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-29-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-3-0-0-0-0-0-0-0-0-0	4	1
B	HLA-Bw0-0-0-0-0-30-0-0-0-0-0-0-0-0-0	2	3
B	HLA-Bw0-0-0-0-0-309-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-0-0-33-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-0-0-362-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-37-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-0-38-0-0-0-0-0-0-0-0-0	4	6
B	HLA-Bw0-0-0-0-0-70-0-0-0-0-0-0-0-0-0	3	4
B	HLA-Bw0-0-0-0-0-91-0-0-0-0-0-0-0-0-0	1	1
DRB1	Nothing.binned	NA	NA
DQB1	Nothing.binned	NA	NA
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-8-0-0-0-0-0	3	7
