Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.19	Inf	0.15307	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	3.31	1.15	11.59	0.013882	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	0.69	0.55	0.86	0.00067198	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-4-0-0	0.75	0.58	0.97	0.022696	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	1.36	1.05	1.78	0.017136	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	1.34	0.98	1.83	0.057878	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.83	0.54	1.29	0.39295	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0	0.72	0.58	0.9	0.0023204	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-10-0-0	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0	1.04	0.79	1.37	0.76116	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-5-0-0	0.66	0.48	0.91	0.0074216	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-6-0-0	1.17	0.9	1.51	0.22669	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-7-0-0	1.91	1.45	2.52	1.5642e-06	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-9-0-0	0.51	0.14	1.64	0.20788	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
