Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	0.64	0.3	1.32	0.19718	NS
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.95	0.63	1.41	0.77505	NS
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	0.53	0.28	0.95	0.023906	*
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	0.68	0.4	1.12	0.10886	NS
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	0.87	0.52	1.47	0.5871	NS
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	1.02	0.42	2.5	0.96206	NS
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	3.31	1.15	11.59	0.013882	*
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.69	0.54	0.87	0.0011573	*
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	0.61	0.18	1.86	0.33397	NS
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	1.35	1.02	1.77	0.028144	*
A	binned	4.11	0.82	39.8	0.053141	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.83	0.54	1.29	0.39295	NS
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	1.19	0.91	1.55	0.19451	NS
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	0.93	0.35	2.42	0.86095	NS
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	1.9	1.44	2.5	2.1052e-06	*
C	HLA-Cw0-0-17-0-9-0-18-0-1-0-13-0-1-0-9-0-0	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	0.69	0.38	1.24	0.18967	NS
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	0.73	0.37	1.4	0.30887	NS
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	1.05	0.66	1.67	0.83936	NS
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	0.66	0.48	0.91	0.0074216	*
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	0.84	0.57	1.24	0.36223	NS
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	0.76	0.44	1.3	0.28099	NS
