Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00243
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.14916	0.17883
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	0.06325	0.06204
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	0.02625	0.01703
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	0.01074	0.01825
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	0.06921	0.06569
A	HLA-Aw0-0-10-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.00239	0.00122
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	0.04296	0.02311
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	0.05131	0.03528
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	0.04296	0.03771
A	HLA-Aw0-0-20-0-27-0-6-0-10-0-12-0-3-0-4-0-0	0	0.00122
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	0.01432	0.0146
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-16-0-1-0-5-0-0	0	0.00487
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	0.00597	0.01946
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	0.26969	0.20195
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	0.01193	0.0073
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	0.10263	0.1326
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	0.13723	0.1764
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06205	0.05231
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.03103	0.02433
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	0.15394	0.17762
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	0.01313	0.01217
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	0.12172	0.20803
C	HLA-Cw0-0-13-0-11-0-14-0-7-0-8-0-7-0-7-0-0	0	0.00122
C	HLA-Cw0-0-17-0-9-0-18-0-1-0-13-0-1-0-9-0-0	0.01193	0.00608
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	0.03819	0.02676
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	0.00716	0.01825
C	HLA-Cw0-0-3-0-2-0-19-0-2-0-4-0-12-0-1-0-0	0.00477	0.00243
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	0.02983	0.0219
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	0.04893	0.05109
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	0.13842	0.09611
C	HLA-Cw0-0-5-0-8-0-10-0-1-0-1-0-1-0-1-0-0	0.00119	0
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	0.10859	0.09124
C	HLA-Cw0-0-8-0-14-0-11-0-2-0-2-0-1-0-1-0-0	0.00119	0.00122
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	0.08115	0.06934
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	0.04296	0.03285
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	0.10382	0.10706
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00358	0.00243
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	0.11814	0.20195
B	HLA-Bw0-0-1-0-24-0-1-0-1-0-1-0-1-0-0	0.00119	0.00122
B	HLA-Bw0-0-10-0-26-0-9-0-3-0-7-0-1-0-0	0.00358	0.00122
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	0.13007	0.08394
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	0.10263	0.08516
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	0.06802	0.06083
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	0.06086	0.01825
B	HLA-Bw0-0-13-0-29-0-2-0-1-0-2-0-2-0-0	0.00239	0.00608
B	HLA-Bw0-0-13-0-3-0-2-0-1-0-2-0-2-0-0	0.00477	0.01217
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	0.01909	0.01703
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-24-0-1-0-0	0.00477	0.00608
B	HLA-Bw0-0-15-0-32-0-21-0-3-0-20-0-10-0-0	0.00597	0.00852
B	HLA-Bw0-0-15-0-32-0-24-0-3-0-20-0-10-0-0	0.01551	0.01338
B	HLA-Bw0-0-15-0-32-0-25-0-3-0-20-0-10-0-0	0.01074	0.01825
B	HLA-Bw0-0-16-0-33-0-23-0-6-0-13-0-11-0-0	0.00358	0.00365
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-25-0-1-0-0	0.03103	0.0365
B	HLA-Bw0-0-17-0-36-0-27-0-2-0-26-0-1-0-0	0.00239	0.00122
B	HLA-Bw0-0-18-0-41-0-28-0-9-0-27-0-14-0-0	0	0.00122
