Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	125	147
A	HLA-Aw0-0-1-0-13-0-1-0-1-0-7-0-1-0-6-0-0	53	51
A	HLA-Aw0-0-10-0-18-0-22-0-2-0-2-0-1-0-2-0-0	22	14
A	HLA-Aw0-0-10-0-18-0-4-0-2-0-2-0-1-0-2-0-0	9	15
A	HLA-Aw0-0-10-0-18-0-6-0-2-0-11-0-9-0-4-0-0	58	54
A	HLA-Aw0-0-12-0-19-0-15-0-7-0-12-0-3-0-4-0-0	36	19
A	HLA-Aw0-0-15-0-22-0-18-0-7-0-17-0-10-0-4-0-0	43	29
A	HLA-Aw0-0-17-0-9-0-6-0-10-0-12-0-3-0-4-0-0	36	31
A	HLA-Aw0-0-3-0-20-0-16-0-1-0-14-0-1-0-5-0-0	12	12
A	HLA-Aw0-0-3-0-21-0-17-0-1-0-15-0-1-0-10-0-0	5	16
A	HLA-Aw0-0-4-0-4-0-2-0-2-0-2-0-1-0-2-0-0	226	166
A	HLA-Aw0-0-4-0-4-0-4-0-2-0-2-0-1-0-2-0-0	10	6
A	HLA-Aw0-0-5-0-15-0-9-0-1-0-9-0-6-0-9-0-0	86	109
A	HLA-Aw0-0-7-0-10-0-7-0-1-0-5-0-4-0-5-0-0	115	145
A	binned	2	8
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	52	43
C	HLA-Cw0-0-1-0-1-0-1-0-1-0-1-0-1-0-1-0-0	26	20
C	HLA-Cw0-0-10-0-10-0-13-0-7-0-8-0-7-0-6-0-0	129	146
C	HLA-Cw0-0-13-0-10-0-13-0-7-0-11-0-7-0-6-0-0	11	10
C	HLA-Cw0-0-13-0-11-0-13-0-7-0-8-0-7-0-7-0-0	102	171
C	HLA-Cw0-0-17-0-9-0-18-0-1-0-13-0-1-0-9-0-0	10	5
C	HLA-Cw0-0-3-0-16-0-20-0-2-0-14-0-13-0-1-0-0	32	22
C	HLA-Cw0-0-3-0-17-0-21-0-10-0-15-0-15-0-10-0-0	6	15
C	HLA-Cw0-0-3-0-2-0-19-0-3-0-4-0-12-0-1-0-0	25	18
C	HLA-Cw0-0-3-0-2-0-2-0-2-0-2-0-1-0-2-0-0	41	42
C	HLA-Cw0-0-4-0-7-0-4-0-4-0-6-0-1-0-5-0-0	116	79
C	HLA-Cw0-0-5-0-8-0-8-0-1-0-1-0-1-0-1-0-0	91	75
C	HLA-Cw0-0-8-0-2-0-11-0-2-0-2-0-1-0-1-0-0	68	57
C	HLA-Cw0-0-8-0-2-0-17-0-2-0-2-0-1-0-1-0-0	36	27
C	HLA-Cw0-0-9-0-2-0-2-0-2-0-2-0-1-0-2-0-0	87	88
C	binned	6	4
B	HLA-Bw0-0-1-0-1-0-1-0-1-0-1-0-1-0-0	99	166
B	HLA-Bw0-0-10-0-26-0-9-0-6-0-19-0-9-0-0	109	69
B	HLA-Bw0-0-11-0-21-0-14-0-5-0-15-0-1-0-0	86	70
B	HLA-Bw0-0-11-0-35-0-14-0-5-0-15-0-1-0-0	57	50
B	HLA-Bw0-0-13-0-25-0-1-0-1-0-17-0-7-0-0	51	15
B	HLA-Bw0-0-13-0-3-0-2-0-1-0-2-0-2-0-0	4	10
B	HLA-Bw0-0-14-0-21-0-10-0-5-0-10-0-1-0-0	16	14
B	HLA-Bw0-0-15-0-32-0-21-0-3-0-20-0-10-0-0	5	7
