Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	1.28	1.02	1.61	0.027893	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	1.35	1.02	1.77	0.028144	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	0.84	0.68	1.02	0.075083	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	0.75	0.58	0.97	0.022696	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	0.61	0.49	0.75	1.7816e-06	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	1.64	1.33	2.03	1.7555e-06	*
C	binned	1.02	0.01	80.07	0.98912	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.01	80.07	0.98912	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	1.07	0.88	1.3	0.49946	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	0.94	0.77	1.14	0.49877	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	1.04	0.85	1.27	0.72558	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	0.96	0.79	1.18	0.71559	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-4-0-1-0	0.89	0.27	2.83	0.8244	NS
DRB1	binned	1.36	0.23	9.32	0.68596	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.51	0.01	9.8	0.57467	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	0.61	0.5	0.74	5.9732e-07	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	1.65	1.35	2.01	4.6162e-07	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	0	0	39.86	0.32242	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	Inf	0.03	Inf	0.32242	NS
