Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	195	230
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	115	145
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-1-0-1-0	355	313
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-2-0-1-0	173	134
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0-1-0	595	492
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-3-0-1-0	242	329
C	binned	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-1-0	449	454
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-2-0	388	367
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-1-0-1-0	517	514
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-2-0-1-0	310	297
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-4-0-1-0	8	7
DRB1	binned	3	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-1-0	507	397
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-1-0-2-0	329	424
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-1-0	837	820
