Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	0.64	0.3	1.32	0.19718	NS
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-4	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1.34	1.01	1.76	0.033137	*
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-41	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-52	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-65	1	0.67	1.51	0.996	NS
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-71	0.7	0.47	1.04	0.063339	NS
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1.96	1.04	3.79	0.024846	*
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-76	0.68	0.4	1.12	0.10886	NS
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	0.67	0.53	0.85	0.000601	*
A	binned	0.85	0.2	3.35	0.78681	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.19	0.22183	NS
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-59	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.9	0.57	1.43	0.6467	NS
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-116	0.53	0.34	0.82	0.0024957	*
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-74	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-79	0.81	0.59	1.12	0.18436	NS
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-103	1.05	0.66	1.67	0.83936	NS
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-108	0.74	0.4	1.34	0.29068	NS
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-81	1.03	0.75	1.43	0.82997	NS
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-85	1.19	0.91	1.55	0.19451	NS
C	HLA-Cw417-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-89	1.9	1.44	2.5	2.1052e-06	*
C	HLA-Cw421-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-94	0.93	0.35	2.42	0.86095	NS
C	HLA-Cw425-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-125	0.51	0.14	1.64	0.20788	NS
C	HLA-Cw427-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-126	0.81	0.39	1.66	0.53817	NS
C	HLA-Cw429-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-127	2.58	0.94	8.15	0.043275	*
C	binned	0.45	0.1	1.62	0.17466	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.42	0.25	0.69	0.0002874	*
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-91	1.99	1.5	2.64	6.65e-07	*
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-108	1.38	1	1.91	0.042198	*
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-157	0.38	0.12	1.02	0.035653	*
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-39	0.79	0.25	2.4	0.64286	NS
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-115	0.54	0.26	1.08	0.063023	NS
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-117	0.65	0.21	1.83	0.36447	NS
B	HLA-Bw639-0-0-0-0-0-0-0-0-0-0-0-0-0-119	0.81	0.42	1.53	0.4901	NS
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-120	0.95	0.62	1.48	0.82567	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-132	1.21	0.81	1.79	0.33145	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-140	0.67	0.36	1.23	0.17167	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-156	1.41	0.7	2.9	0.29611	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-242	1.02	0.4	2.61	0.9637	NS
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-28	1.79	0.45	8.37	0.34739	NS
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-184	0.68	0.45	1.02	0.052337	NS
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-186	0.63	0.35	1.12	0.093295	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-145	1.17	0.37	3.8	0.76655	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-147	0.95	0.41	2.18	0.88586	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-194	0.84	0.53	1.33	0.4271	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-211	0.89	0.27	2.83	0.8244	NS
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-30	0.75	0.48	1.16	0.16918	NS
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-192	1.12	0.59	2.11	0.71483	NS
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-243	1.43	0.39	5.74	0.53988	NS
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-6	2.58	0.94	8.15	0.043275	*
B	HLA-Bw683-0-0-0-0-0-0-0-0-0-0-0-0-0-246	0.89	0.4	1.96	0.75259	NS
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-219	1.18	0.67	2.1	0.53712	NS
B	HLA-Bw810-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1.19	0.34	4.31	0.75402	NS
B	binned	0.8	0.49	1.3	0.33518	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.68	0.44	1.03	0.056747	NS
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-1	0.41	0.27	0.62	7.4405e-06	*
DRB1	HLA-DRB1w1-0-0-0-0-0-0-0-0-0-0-0-3	1.36	0.52	3.69	0.48186	NS
