Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw14-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-66	3	0
A	HLA-Aw15-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-121	2	1
A	HLA-Aw24-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-14	1	0
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-19	0	1
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-107	1	0
C	HLA-Cw223-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-2	4	3
C	HLA-Cw239-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-18	1	0
C	HLA-Cw243-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-29	0	1
C	HLA-Cw414-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-110	2	0
C	HLA-Cw434-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-77	1	0
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-28	3	3
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-1	1	1
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-103	4	1
B	HLA-Bw627-0-0-0-0-0-0-0-0-0-0-0-0-0-190	1	0
B	HLA-Bw633-0-0-0-0-0-0-0-0-0-0-0-0-0-166	1	0
B	HLA-Bw636-0-0-0-0-0-0-0-0-0-0-0-0-0-113	1	0
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-124	1	3
B	HLA-Bw641-0-0-0-0-0-0-0-0-0-0-0-0-0-16	1	0
B	HLA-Bw643-0-0-0-0-0-0-0-0-0-0-0-0-0-123	0	1
B	HLA-Bw645-0-0-0-0-0-0-0-0-0-0-0-0-0-16	4	6
B	HLA-Bw648-0-0-0-0-0-0-0-0-0-0-0-0-0-111	1	0
B	HLA-Bw649-0-0-0-0-0-0-0-0-0-0-0-0-0-26	1	0
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-19	3	1
B	HLA-Bw652-0-0-0-0-0-0-0-0-0-0-0-0-0-50	5	1
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-208	0	1
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-221	5	3
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-4	3	3
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-61	0	2
B	HLA-Bw654-0-0-0-0-0-0-0-0-0-0-0-0-0-65	2	2
B	HLA-Bw658-0-0-0-0-0-0-0-0-0-0-0-0-0-4	1	0
B	HLA-Bw662-0-0-0-0-0-0-0-0-0-0-0-0-0-58	0	2
B	HLA-Bw675-0-0-0-0-0-0-0-0-0-0-0-0-0-50	2	0
B	HLA-Bw686-0-0-0-0-0-0-0-0-0-0-0-0-0-73	1	0
B	HLA-Bw691-0-0-0-0-0-0-0-0-0-0-0-0-0-82	0	1
B	HLA-Bw806-0-0-0-0-0-0-0-0-0-0-0-0-0-209	1	1
B	HLA-Bw811-0-0-0-0-0-0-0-0-0-0-0-0-0-158	0	1
B	HLA-Bw823-0-0-0-0-0-0-0-0-0-0-0-0-0-220	1	1
DRB1	HLA-DRB1w10-0-0-0-0-0-0-0-0-0-0-0-10	3	4
DRB1	HLA-DRB1w24-0-0-0-0-0-0-0-0-0-0-0-19	4	1
DRB1	HLA-DRB1w30-0-0-0-0-0-0-0-0-0-0-0-21	1	0
DRB1	HLA-DRB1w6-0-0-0-0-0-0-0-0-0-0-0-6	5	4
DRB1	HLA-DRB1w9-0-0-0-0-0-0-0-0-0-0-0-9	2	3
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w26-0-0-0-0-0-0-0-0-0-0-0-3	0	1
DQB1	HLA-DQB1w38-0-0-0-0-0-0-0-0-0-0-0-3	1	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w3-0-0-0-0-0-0-0-0-0-19	0	1
