Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.74	0.36	1.48	0.35517	NS
A	HLA-Aw2-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.24	0.95	1.63	0.10253	NS
A	HLA-Aw27-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.35	1.02	1.77	0.028144	*
A	HLA-Aw31-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.98	0.64	1.49	0.91952	NS
A	HLA-Aw40-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.34	0.98	1.83	0.057878	NS
A	HLA-Aw49-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0.67	1.51	0.996	NS
A	HLA-Aw52-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.7	0.47	1.04	0.063339	NS
A	HLA-Aw56-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.96	1.04	3.79	0.024846	*
A	HLA-Aw58-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.68	0.4	1.12	0.10886	NS
A	HLA-Aw60-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.71	0.7	4.46	0.20008	NS
A	HLA-Aw8-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.68	0.54	0.86	0.00074976	*
A	binned	0.17	0	1.4	0.061713	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.51	1.19	0.22183	NS
C	HLA-Cw396-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.78	0.41	1.46	0.40602	NS
C	HLA-Cw404-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.67	0.48	0.91	0.0087709	*
C	HLA-Cw408-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.82	0.59	1.15	0.23873	NS
C	HLA-Cw412-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.81	0.59	1.12	0.18436	NS
