Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
A	HLA-Aw0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-61-0-0-0-0-0-0-0-0-0-0-0-0-0	3	7
A	HLA-Aw0-0-0-78-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
A	HLA-Aw0-0-0-8-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-80-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-101-0-0-0-0-0-0-0-0-0-0-0-0-0	6	4
C	HLA-Cw0-0-0-23-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-498-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	HLA-Cw0-0-0-820-0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-106-0-0-0-0-0-0-0-0-0-0-0	3	3
B	HLA-Bw0-0-0-110-0-0-0-0-0-0-0-0-0-0-0	2	2
B	HLA-Bw0-0-0-111-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-129-0-0-0-0-0-0-0-0-0-0-0	5	4
B	HLA-Bw0-0-0-135-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-1391-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-145-0-0-0-0-0-0-0-0-0-0-0	2	0
B	HLA-Bw0-0-0-155-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-27-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-28-0-0-0-0-0-0-0-0-0-0-0	0	2
B	HLA-Bw0-0-0-29-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-33-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-34-0-0-0-0-0-0-0-0-0-0-0	4	6
B	HLA-Bw0-0-0-42-0-0-0-0-0-0-0-0-0-0-0	1	0
B	HLA-Bw0-0-0-47-0-0-0-0-0-0-0-0-0-0-0	3	6
B	HLA-Bw0-0-0-72-0-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-75-0-0-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-1217-0-0-0-0-0-0-0-0-0	3	3
DRB1	HLA-DRB1w0-0-0-1457-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-1856-0-0-0-0-0-0-0-0-0	4	1
DRB1	HLA-DRB1w0-0-0-205-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-318-0-0-0-0-0-0-0-0-0	5	4
DRB1	HLA-DRB1w0-0-0-367-0-0-0-0-0-0-0-0-0	5	1
DRB1	HLA-DRB1w0-0-0-681-0-0-0-0-0-0-0-0-0	2	3
DRB1	HLA-DRB1w0-0-0-686-0-0-0-0-0-0-0-0-0	5	1
DRB1	HLA-DRB1w0-0-0-698-0-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-774-0-0-0-0-0-0-0-0-0	3	4
DRB1	HLA-DRB1w0-0-0-864-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-0-0-141-0-0-0-0-0-0-0-0-0	0	1
DQB1	HLA-DQB1w0-0-0-143-0-0-0-0-0-0-0-0-0	2	0
DQB1	HLA-DQB1w0-0-0-170-0-0-0-0-0-0-0-0-0	1	0
DQB1	HLA-DQB1w0-0-0-422-0-0-0-0-0-0-0-0-0	2	1
DPB1	HLA-DPB1w0-0-0-124-0-0-0-0-0-0-0	6	4
DPB1	HLA-DPB1w0-0-0-150-0-0-0-0-0-0-0	3	7
DPB1	HLA-DPB1w0-0-0-203-0-0-0-0-0-0-0	4	1
DPB1	HLA-DPB1w0-0-0-295-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-476-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-590-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-597-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-621-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-8011-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-8054-0-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-82-0-0-0-0-0-0-0	3	3
