Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	1.43	1.17	1.75	0.00035714	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-2-0-0-0-0-0	0.7	0.57	0.86	0.00035714	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	39.76	0.32183	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	Inf	0.03	Inf	0.32183	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1.02	0.01	80.07	0.98912	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	0.98	0.01	77.05	0.98912	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.3125	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-1-0	0	0	38.26	0.3125	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.51	0.01	9.8	0.57467	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-1-0	0.61	0.5	0.74	5.9732e-07	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-2-0	1.65	1.35	2.01	4.6162e-07	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc	NCalc	NCalc	NCalc
