Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	550	543
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-0-0	173	134
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	115	145
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0-0-0	595	493
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-3-0-0-0	242	329
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	1
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-1-0	449	454
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-2-0	388	367
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	NCalc	NCalc
