Locus	Allele	OR	CI.lower	CI.upper	p.value	sig
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	1.43	1.17	1.75	0.00035714	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.7	0.56	0.87	0.001014	*
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.9	0.54	1.51	0.67874	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	1.37	0.6	3.19	0.41572	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.32	0.94	1.84	0.092621	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	0.95	0.63	1.41	0.77505	NS
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	0.6	0.4	0.88	0.0059672	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0	39.76	0.32183	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	0.65	0.49	0.86	0.0018978	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	0.69	0.38	1.24	0.18967	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	2.58	0.94	8.15	0.043275	*
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	0.78	0.48	1.26	0.2902	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	0.96	0.75	1.24	0.76117	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	0.81	0.59	1.1	0.16129	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	0.84	0.6	1.17	0.27455	NS
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	1.64	1.33	2.03	1.7555e-06	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	1.33	1.03	1.71	0.021978	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	1.13	0.65	1.98	0.63614	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	0.93	0.75	1.16	0.52836	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	0.52	0.25	1.04	0.046217	*
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	0.7	0.47	1.05	0.069081	NS
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	1.02	0.83	1.25	0.83416	NS
B	binned	0.76	0.22	2.52	0.61665	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	Inf	0.03	Inf	0.3125	NS
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	0.49	0.39	0.62	1.1154e-09	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	2.31	1.87	2.84	4.4717e-16	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	0.57	0.41	0.79	0.00045001	*
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	0.62	0.32	1.17	0.11858	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	1.08	0.84	1.38	0.53187	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	0.62	0.48	0.8	0.00013267	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	0.62	0.46	0.82	0.00052923	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	0.54	0.4	0.71	8.97e-06	*
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	1.02	0.36	2.92	0.9672	NS
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	2.69	2.14	3.37	< 2.22e-16	*
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	1.16	0.69	1.94	0.55735	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	0.85	0.58	1.24	0.38759	NS
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	1.07	0.58	1.97	0.82418	NS
DPB1	binned	1.8	0.45	8.39	0.34531	NS
