Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	310	375
A	HLA-Aw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	269	204
A	HLA-Aw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	36	32
A	HLA-Aw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	12	16
A	HLA-Aw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	74	93
A	HLA-Aw0-0-0-0-0-0-0-0-0-8-0-0-0-0-0-0-0	58	54
A	HLA-Aw0-0-0-0-0-0-0-0-0-9-0-0-0-0-0-0-0	79	48
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	1	0
C	HLA-Cw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0-0-0	151	103
C	HLA-Cw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0-0-0	32	22
C	HLA-Cw0-0-0-0-0-0-0-0-0-11-0-0-0-0-0-0-0	6	15
C	HLA-Cw0-0-0-0-0-0-0-0-0-2-0-0-0-0-0-0-0	45	35
C	HLA-Cw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0-0-0	165	157
C	HLA-Cw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0-0-0	105	85
C	HLA-Cw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0-0-0	91	76
C	HLA-Cw0-0-0-0-0-0-0-0-0-7-0-0-0-0-0-0-0	242	329
B	HLA-Bw0-0-0-0-0-0-0-0-0-1-0-0-0-0-0	147	181
B	HLA-Bw0-0-0-0-0-0-0-0-0-10-0-0-0-0-0	28	31
B	HLA-Bw0-0-0-0-0-0-0-0-0-3-0-0-0-0-0	240	224
B	HLA-Bw0-0-0-0-0-0-0-0-0-4-0-0-0-0-0	27	14
B	HLA-Bw0-0-0-0-0-0-0-0-0-5-0-0-0-0-0	68	48
B	HLA-Bw0-0-0-0-0-0-0-0-0-6-0-0-0-0-0	320	318
B	binned	8	6
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-0-0-0-1-0-0-0-0-0	255	145
DRB1	HLA-DRB1w0-0-0-0-0-0-0-2-0-0-0-0-0	437	588
DRB1	HLA-DRB1w0-0-0-0-0-0-0-4-0-0-0-0-0	117	70
DRB1	HLA-DRB1w0-0-0-0-0-0-0-5-0-0-0-0-0	29	18
DQB1	HLA-DQB1w0-0-0-0-0-0-0-1-0-0-0-0-0	166	173
DQB1	HLA-DQB1w0-0-0-0-0-0-0-2-0-0-0-0-0	189	125
DQB1	HLA-DQB1w0-0-0-0-0-0-0-3-0-0-0-0-0	152	99
DQB1	HLA-DQB1w0-0-0-0-0-0-0-6-0-0-0-0-0	158	91
DQB1	HLA-DQB1w0-0-0-0-0-0-0-7-0-0-0-0-0	9	9
DQB1	HLA-DQB1w0-0-0-0-0-0-0-8-0-0-0-0-0	164	325
DPB1	HLA-DPB1w0-0-0-0-0-0-0-1-0-0-0	32	36
DPB1	HLA-DPB1w0-0-0-0-0-0-0-2-0-0-0	778	752
DPB1	HLA-DPB1w0-0-0-0-0-0-0-3-0-0-0	24	25
DPB1	binned	4	7
