Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00243
A	HLA-Aw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.21241	0.24088
A	HLA-Aw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10859	0.10219
A	HLA-Aw0-0-12-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04296	0.02311
A	HLA-Aw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.05131	0.03528
A	HLA-Aw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.04296	0.03771
A	HLA-Aw0-0-20-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00122
A	HLA-Aw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.02029	0.03893
A	HLA-Aw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.28162	0.20925
A	HLA-Aw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10263	0.1326
A	HLA-Aw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.13723	0.1764
C	HLA-Cw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.06205	0.05231
C	HLA-Cw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.03103	0.02433
C	HLA-Cw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.15394	0.17762
C	HLA-Cw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.13484	0.22141
C	HLA-Cw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.01193	0.00608
C	HLA-Cw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.12888	0.12044
C	HLA-Cw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.13842	0.09611
C	HLA-Cw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10979	0.09124
C	HLA-Cw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.1253	0.10341
C	HLA-Cw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.10382	0.10706
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0.00358	0.00243
B	HLA-Bw0-0-1-0-0-0-0-0-0-0-0-0-0-0-0	0.11933	0.20316
B	HLA-Bw0-0-10-0-0-0-0-0-0-0-0-0-0-0-0	0.13365	0.08516
B	HLA-Bw0-0-11-0-0-0-0-0-0-0-0-0-0-0-0	0.17064	0.14599
B	HLA-Bw0-0-13-0-0-0-0-0-0-0-0-0-0-0-0	0.06802	0.0365
B	HLA-Bw0-0-14-0-0-0-0-0-0-0-0-0-0-0-0	0.02387	0.02311
B	HLA-Bw0-0-15-0-0-0-0-0-0-0-0-0-0-0-0	0.03222	0.04015
B	HLA-Bw0-0-16-0-0-0-0-0-0-0-0-0-0-0-0	0.00358	0.00365
B	HLA-Bw0-0-17-0-0-0-0-0-0-0-0-0-0-0-0	0.03341	0.03771
B	HLA-Bw0-0-18-0-0-0-0-0-0-0-0-0-0-0-0	0	0.00122
B	HLA-Bw0-0-2-0-0-0-0-0-0-0-0-0-0-0-0	0.13126	0.14964
B	HLA-Bw0-0-3-0-0-0-0-0-0-0-0-0-0-0-0	0.03222	0.01703
B	HLA-Bw0-0-4-0-0-0-0-0-0-0-0-0-0-0-0	0.04296	0.03285
B	HLA-Bw0-0-5-0-0-0-0-0-0-0-0-0-0-0-0	0.13365	0.13504
B	HLA-Bw0-0-7-0-0-0-0-0-0-0-0-0-0-0-0	0.00119	0
B	HLA-Bw0-0-8-0-0-0-0-0-0-0-0-0-0-0-0	0.00477	0.00973
B	HLA-Bw0-0-9-0-0-0-0-0-0-0-0-0-0-0-0	0.06563	0.07664
DRB1	HLA-DRB1w0-0-0-0-0-0-0-0-0-0-0-0-0	0.07518	0.05231
DRB1	HLA-DRB1w0-0-108-0-0-0-0-0-0-0-0-0-0	0.02267	0.01095
DRB1	HLA-DRB1w0-0-109-0-0-0-0-0-0-0-0-0-0	0.00119	0
DRB1	HLA-DRB1w0-0-11-0-0-0-0-0-0-0-0-0-0	0.09785	0.05109
DRB1	HLA-DRB1w0-0-13-0-0-0-0-0-0-0-0-0-0	0.00597	0.00487
DRB1	HLA-DRB1w0-0-14-0-0-0-0-0-0-0-0-0-0	0.00716	0.0073
DRB1	HLA-DRB1w0-0-15-0-0-0-0-0-0-0-0-0-0	0.13962	0.08516
DRB1	HLA-DRB1w0-0-18-0-0-0-0-0-0-0-0-0-0	0.00239	0.00365
