Locus	Allele	Group.0	Group.1
A	HLA-Aw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	0	2
A	HLA-Aw0-0-0-0-27-0-0-0-0-0-0-0-0-0-0-0-0	0	1
C	Nothing.binned	NA	NA
B	HLA-Bw0-0-0-0-0-0-0-0-0-0-0-0-0-0-0	3	2
B	HLA-Bw0-0-0-0-11-0-0-0-0-0-0-0-0-0-0	0	1
B	HLA-Bw0-0-0-0-29-0-0-0-0-0-0-0-0-0-0	2	5
B	HLA-Bw0-0-0-0-33-0-0-0-0-0-0-0-0-0-0	3	3
B	HLA-Bw0-0-0-0-41-0-0-0-0-0-0-0-0-0-0	0	1
DRB1	HLA-DRB1w0-0-0-0-13-0-0-0-0-0-0-0-0	1	0
DRB1	HLA-DRB1w0-0-0-0-16-0-0-0-0-0-0-0-0	5	4
DRB1	HLA-DRB1w0-0-0-0-20-0-0-0-0-0-0-0-0	2	3
DRB1	HLA-DRB1w0-0-0-0-27-0-0-0-0-0-0-0-0	2	0
DRB1	HLA-DRB1w0-0-0-0-47-0-0-0-0-0-0-0-0	4	1
DRB1	HLA-DRB1w0-0-0-0-951-0-0-0-0-0-0-0-0	3	4
DQB1	HLA-DQB1w0-0-0-0-0-0-0-0-0-0-0-0-0	2	1
DQB1	HLA-DQB1w0-0-0-0-5-0-0-0-0-0-0-0-0	3	0
DPB1	HLA-DPB1w0-0-0-0-0-0-0-0-0-0-0	1	0
DPB1	HLA-DPB1w0-0-0-0-1877-0-0-0-0-0-0	6	4
DPB1	HLA-DPB1w0-0-0-0-1908-0-0-0-0-0-0	3	7
DPB1	HLA-DPB1w0-0-0-0-1916-0-0-0-0-0-0	0	1
DPB1	HLA-DPB1w0-0-0-0-8-0-0-0-0-0-0	0	1
